P48774," Direct protein sequencing,  Phosphoprotein,  Reference proteome, Cytoplasm, Transferase"
P14685," Phosphoprotein,  Ubl conjugation,  Reference proteome, Isopeptide bond, Tumor antigen,  Proteasome"
Q8VDJ3," Transport,  Phosphoprotein,  HDL, Lipid transport,  Cholesterol metabolism,  Repeat,  Cytoplasm, Acetylation, RNA-binding,  Nucleus,  Sterol metabolism,  Reference proteome,  Steroid metabolism,  Lipid metabolism"
P15864," Phosphoprotein,  Methylation,  DNA-binding,  Citrullination,  Chromosome, Hydroxylation, Acetylation,  Nucleus,  Reference proteome,  ADP-ribosylation"
O35459," Phosphoprotein,  Fatty acid metabolism,  Reference proteome,  Peroxisome, Mitochondrion, Transit peptide, Acetylation,  Isomerase,  Lipid metabolism"
Q99JI4," Reference proteome, Proteasome"
Q58A65," Phosphoprotein,  Coiled coil,  Alternative splicing, Membrane,  Cytoplasm, Acetylation,  Reference proteome,  Lysosome"
Q2PFD7," Membrane,  Phosphoprotein,  Cell membrane, Reference proteome,  Synapse, Alternative splicing,  Cell projection,  Guanine-nucleotide releasing factor, Coiled coil,  Cell junction"
Q9R0Q6," Direct protein sequencing,  Cytoskeleton, Reference proteome, Actin-binding,  Repeat,  WD repeat,  Cytoplasm,  Nucleus"
Q6PGN3," Cytoskeleton, Nucleotide-binding,  Phosphoprotein,  ATP-binding,  Repeat,  Transferase,  Cytoplasm, Serine/threonine-protein kinase, Alternative splicing,  Reference proteome,  Kinase"
Q8CC35," Cytoskeleton,  Direct protein sequencing, Methylation,  Alternative splicing,  Phosphoprotein,  Tight junction, Actin-binding,  Synapse,  Glycoprotein,  Cell projection,  Reference proteome, Cytoplasm,  Cell junction"
P97765," Phosphoprotein, Reference proteome,  Repeat,  Cytoplasm, Alternative splicing,  Nucleus"
Q9DC51," Membrane,  Direct protein sequencing,  GTP-binding,  Lipoprotein,  Myristate,  Cell cycle,  Transducer,  Cell membrane, Magnesium,  Cell division, 3D-structure,  Nucleotide-binding,  Cytoplasm, Palmitate,  Reference proteome,  Metal-binding, Cytoskeleton"
O08915," Direct protein sequencing,  Phosphoprotein, Repeat,  TPR repeat,  Reference proteome, Cytoplasm"
P26039," Acetylation,  Cytoskeleton,  Membrane,  Phosphoprotein,  Cell membrane, Reference proteome, 3D-structure,  Polymorphism,  Cell projection, Cytoplasm,  Cell junction"
O88737," Cytoskeleton,  Myristate,  Coiled coil,  Lipoprotein, Membrane,  Phosphoprotein,  Zinc,  Zinc-finger,  Methylation, Reference proteome,  Repeat,  Synapse, Alternative splicing,  Cell projection,  Cytoplasmic vesicle,  Glycoprotein, Cytoplasm,  Metal-binding,  Cell junction"
P12023," Membrane,  Apoptosis,  Endosome,  Cell adhesion,  Heparin-binding, 3D-structure,  Isopeptide bond,  Reference proteome,  Endocytosis, Metal-binding, Serine protease inhibitor, Transmembrane helix, Golgi apparatus,  Secreted,  Ubl conjugation,  Sulfation,  Cytoplasm,  Amyloid,  Glycoprotein,  Cell projection,  Transmembrane, Cell membrane,  Zinc,  Alternative splicing,  Copper, Protease inhibitor,  Disulfide bond,  Signal,  Phosphoprotein,  Iron,  Notch signaling pathway, Cytoplasmic vesicle,  Nucleus,  Coated pit"
P63158," Membrane, DNA repair,  Endosome,  Heparin-binding,  Chemotaxis, 3D-structure,  DNA recombination,  Innate immunity, Direct protein sequencing,  Reference proteome,  DNA damage,  Immunity,  Secreted,  Adaptive immunity,  Chromosome,  Cytoplasm,  Oxidation, Cell membrane,  Acetylation,  Disulfide bond, Phosphoprotein,  Autophagy,  DNA-binding,  Repeat, Inflammatory response,  Nucleus,  ADP-ribosylation"
P11499," Membrane, Nucleotide-binding,  Phosphoprotein,  Secreted,  Ubl conjugation,  Cell membrane,  Chaperone,  Methylation,  ATP-binding,  Stress response, S-nitrosylation,  Cytoplasm, Acetylation,  Glycoprotein,  Nucleus, Direct protein sequencing,  Reference proteome"
Q80X90," Cytoskeleton,  Ubl conjugation, Phosphoprotein,  Repeat,  Isopeptide bond,  Actin-binding,  Cytoplasm, Acetylation,  Reference proteome"
Q8VCW8," Fatty acid metabolism,  Ligase,  ATP-binding,  Nucleotide-binding, Mitochondrion, Acetylation,  Transit peptide,  Reference proteome,  Lipid metabolism"
Q9WUB3," Carbohydrate metabolism,  Allosteric enzyme,  Glycosyltransferase, Phosphoprotein,  Nucleotide-binding,  Pyridoxal phosphate,  Transferase, Acetylation,  Reference proteome, Glycogen metabolism"
Q91XM9," Membrane,  Phosphoprotein,  Lipoprotein,  Alternative splicing,  Palmitate,  Cell membrane, Cell projection,  SH3 domain, Reference proteome,  Repeat, 3D-structure,  Synapse,  Cell junction"
O35526," Membrane,  Exocytosis,  Phosphoprotein,  Coiled coil,  Transport, Synaptosome,  Cell membrane, Ubl conjugation, Cell junction,  Synapse,  Isopeptide bond, Neurotransmitter transport,  Transmembrane helix, Direct protein sequencing,  Reference proteome,  Transmembrane,  Cytoplasmic vesicle"
Q80TJ1," Membrane,  Transport,  Phosphoprotein,  Synapse,  Lipid-binding,  Cell junction,  Calcium, Alternative splicing,  Reference proteome, Protein transport,  Metal-binding, Exocytosis,  Cytoplasmic vesicle"
Q99MR8,"Nucleotide-binding,  Ligase,  Mitochondrion,  ATP-binding, Acetylation,  Transit peptide,  Reference proteome,  Biotin"
Q8K2B3," Membrane,  Direct protein sequencing,  Phosphoprotein,  Mitochondrion inner membrane, Transport,  Mitochondrion,  Tumor suppressor, Flavoprotein,  FAD, Oxidoreductase, Acetylation,  Transit peptide,  Reference proteome,  Tricarboxylic acid cycle,  Electron transport"
Q8BPN8," Phosphoprotein,  Coiled coil, Membrane,  Repeat,  Synapse,  WD repeat,  Cell junction, Alternative splicing,  Reference proteome,  Cytoplasmic vesicle"
P62835," Membrane,  GTP-binding,  Endosome, Lipoprotein,  Cell membrane,  Methylation, Cell junction,  Hydrolase,  Nucleotide-binding,  Tumor suppressor,  Neurogenesis,  Cytoplasm,  Reference proteome, Prenylation"
Q8R326,"Transcription,  Alternative splicing,  Immunity,  Methylation, Phosphoprotein,  Repeat,  Transcription regulation,  Cytoplasm,  Biological rhythms, Acetylation,  Innate immunity,  Nucleus,  RNA-binding,  Reference proteome,  Repressor, Coiled coil,  Activator"
Q9JIF0," Phosphoprotein,  Alternative splicing,  Ubl conjugation,  Isopeptide bond, S-adenosyl-L-methionine,  Transferase,  Cytoplasm, Acetylation,  Nucleus,  Reference proteome, Methyltransferase"
P70175," Reference proteome, Phosphoprotein,  Repeat,  SH3 domain"
P14824," Annexin,  Phosphoprotein,  Repeat,  Cytoplasm,  Calcium, Acetylation, Direct protein sequencing,  Reference proteome,  Calcium/phospholipid-binding"
P09242," Membrane,  Phosphoprotein, Lipoprotein,  Magnesium,  Disulfide bond,  Hydrolase,  Metal-binding, Reference proteome,  Glycoprotein,  Signal,  GPI-anchor, Cell membrane,  Zinc"
Q91XL9," Transport,  Coiled coil,  Alternative splicing,  Endosome, Phosphoprotein,  Repeat, 3D-structure,  Lipid-binding,  ANK repeat, Direct protein sequencing,  Reference proteome,  Lipid transport"
Q91YR7," Phosphoprotein,  Alternative splicing, Nucleus,  Repeat, 3D-structure,  mRNA processing,  mRNA splicing,  Reference proteome,  Spliceosome"
Q3UJU9," Membrane,  Cytoskeleton,  Coiled coil, Microtubule,  Mitochondrion,  Mitochondrion outer membrane, Phosphoprotein,  Cytoplasm,  Transmembrane helix,  Nucleus,  Reference proteome,  Differentiation,  Transmembrane, Apoptosis"
Q99KH8," Apoptosis, Membrane,  Phosphoprotein,  ATP-binding,  Magnesium, Reference proteome,  Nucleotide-binding,  Transferase,  Serine/threonine-protein kinase,  Cytoplasm, Acetylation,  Nucleus,  Metal-binding,  Kinase"
P28740," Cytoskeleton,  Phosphoprotein,  Alternative splicing,  Cell cycle,  Microtubule,  Developmental protein, Neurogenesis,  ATP-binding,  Cell division,  Motor protein,  Nucleotide-binding,  Cytoplasm, Acetylation, Differentiation,  Mitosis,  Reference proteome, Coiled coil,  Lysosome"
P84091," Membrane,  Direct protein sequencing,  Phosphoprotein,  Transport,  Cell membrane, Endocytosis, Reference proteome, 3D-structure,  Lipid-binding,  Protein transport,  Coated pit"
P53026," Phosphoprotein,  Ribosomal protein,  Ubl conjugation,  Isopeptide bond, Acetylation,  Reference proteome, Ribonucleoprotein"
Q8CGC7,"Nucleotide-binding, Membrane,  Phosphoprotein,  Ligase,  Multifunctional enzyme,  Methylation,  ATP-binding, Reference proteome,  Repeat,  Protein biosynthesis,  Cytoplasm, Acetylation,  Translation regulation,  RNA-binding,  Aminoacyl-tRNA synthetase,  Metal-binding,  Zinc"
O35658," Membrane,  Apoptosis,  Ribosome biogenesis,  Reference proteome, Transcription,  Immunity,  Secreted,  Adaptive immunity,  mRNA splicing,  Cytoplasm,  Direct protein sequencing,  Mitochondrion,  Transcription regulation,  mRNA processing,  Transit peptide,  Phosphoprotein, Nucleus,  Cell membrane, Complement pathway, Acetylation, Innate immunity"
Q9DB77," Membrane,  Direct protein sequencing,  Phosphoprotein,  Transport,  Respiratory chain,  Mitochondrion inner membrane, Reference proteome, Mitochondrion, Acetylation,  Transit peptide,  Electron transport"
P63325," Phosphoprotein,  Ribosomal protein,  Ubl conjugation,  Methylation, Reference proteome,  Isopeptide bond,  Nucleus,  Ribonucleoprotein, Cytoplasm"
P63321," Membrane,  Direct protein sequencing,  GTP-binding,  Lipoprotein, Nucleotide-binding,  Prenylation,  Cell membrane,  Methylation,  Hydrolase,  Cell division, Cell cycle,  Reference proteome, Exocytosis"
Q8BGQ7,"tRNA-binding,  Ligase,  Ubl conjugation,  ATP-binding, Phosphoprotein,  Nucleotide-binding,  Protein biosynthesis,  Cytoplasm, Acetylation, Disease mutation,  RNA-binding,  Reference proteome,  Aminoacyl-tRNA synthetase,  Metal-binding,  Zinc"
P80315," Direct protein sequencing,  Chaperone,  Methylation,  ATP-binding, Phosphoprotein,  Nucleotide-binding,  Cytoplasm, Acetylation,  Cell projection,  Reference proteome, Cytoskeleton,  Cilium"
Q9Z1W8," Membrane,  Direct protein sequencing, Translocase,  Transport,  Potassium transport,  Potassium,  Magnesium, Phosphoprotein,  Nucleotide-binding,  Hydrogen ion transport, ATP-binding,  Transmembrane helix,  Reference proteome, Ion transport,  Transmembrane,  Metal-binding"
Q922J3," Membrane,  Cytoskeleton,  Phosphoprotein,  Coiled coil,  Alternative splicing,  Transport,  Zinc, Microtubule,  Repeat, 3D-structure, Zinc-finger,  Cell projection,  Reference proteome, Cytoplasm,  Metal-binding,  Cytoplasmic vesicle"
P12960," Membrane,  Direct protein sequencing,  Lipoprotein,  Cell membrane,  Immunoglobulin domain,  Disulfide bond,  Repeat, Cell adhesion, Glycoprotein,  Reference proteome, Notch signaling pathway,  Signal,  GPI-anchor"
Q9EP69," Membrane,  Golgi apparatus, Reference proteome,  Hydrolase, Acetylation,  Transmembrane helix,  Endoplasmic reticulum,  Transmembrane"
O08539," Membrane,  Phosphoprotein,  Coiled coil,  Alternative splicing,  Endosome, Nucleus,  Cell membrane,  Cytoplasm, Acetylation,  Reference proteome,  Endocytosis,  Differentiation, Developmental protein,  SH3 domain"
Q71LX4," Cytoskeleton,  Phosphoprotein, Membrane,  Cell membrane,  Synapse, 3D-structure,  Cytoplasm,  Reference proteome,  Cell junction"
Q9JI91," Phosphoprotein,  Ubl conjugation, Reference proteome, Actin-binding,  Repeat,  Cytoplasm,  Calcium,  Metal-binding"
O08583," Acetylation,  Phosphoprotein,  Alternative splicing, Nucleus, Transport,  Chaperone,  Methylation,  mRNA transport,  Citrullination, 3D-structure,  mRNA processing,  mRNA splicing,  RNA-binding,  Reference proteome, Cytoplasm,  Spliceosome"
D3Z7P3," Acetylation,  Phosphoprotein,  Alternative splicing,  Mitochondrion,  Repeat, 3D-structure,  ANK repeat, Transit peptide,  Cytoplasm, Hydrolase,  Reference proteome"
Q62348," Acetylation,  Phosphoprotein, Nuclease,  Hydrolase,  DNA-binding, 3D-structure,  Cytoplasm,  Nucleus,  RNA-binding,  Reference proteome,  Endonuclease"
O54983," Direct protein sequencing,  NAD, 3D-structure, Oxidoreductase,  Cytoplasm,  Reference proteome,  NADP"
P63044," Membrane,  Direct protein sequencing,  Phosphoprotein,  Coiled coil,  Cell membrane, Cytoplasmic vesicle, Reference proteome,  Synapse, Acetylation,  Transmembrane helix,  Transmembrane,  Cell junction"
Q91YS8," Phosphoprotein,  Cell cycle, Ubl conjugation, Neurogenesis,  ATP-binding,  Calmodulin-binding, Reference proteome,  Isopeptide bond,  Nucleotide-binding, Allosteric enzyme,  Serine/threonine-protein kinase,  Cytoplasm,  Transferase,  Nucleus,  Differentiation, Developmental protein,  Kinase"
Q80WL8," Membrane,  Apoptosis,  Phosphoprotein, Reference proteome,  Cytoplasm, Alternative splicing, Guanine-nucleotide releasing factor"
P54285," Transport,  Phosphoprotein,  Ion transport,  Calcium channel,  Voltage-gated channel, SH3 domain,  Calcium, Alternative splicing,  Reference proteome,  Ion channel, Cytoplasm,  Calcium transport"
O70435," Acetylation,  Direct protein sequencing, Phosphoprotein, 3D-structure,  Cytoplasm,  Nucleus,  Reference proteome,  Proteasome"
O08529," Membrane,  Cell membrane,  Protease,  Hydrolase,  Repeat,  Cytoplasm,  Calcium, Acetylation,  Reference proteome, Metal-binding,  Thiol protease"
P11438," Membrane,  Direct protein sequencing,  Cell membrane, Endosome,  Disulfide bond, 3D-structure,  Glycoprotein,  Transmembrane helix,  Reference proteome,  Signal, Transmembrane,  Lysosome"
Q8BFU3," Coiled coil,  Alternative splicing,  Zinc-finger, Phosphoprotein, Acetylation,  Reference proteome,  Metal-binding,  Zinc"
O88485," Transport,  Centromere,  Alternative splicing,  Microtubule,  Dynein, Phosphoprotein,  Repeat,  Motor protein,  WD repeat,  Chromosome,  Kinetochore,  Cytoplasm, Acetylation,  Reference proteome, Cytoskeleton"
Q9R0U7," Phosphoprotein,  Coiled coil,  Alternative splicing,  Golgi apparatus, Reference proteome, 3D-structure,  Cell projection, Cytoplasm,  Cytoplasmic vesicle"
Q5FWK3," Phosphoprotein,  SH3-binding, Reference proteome,  GTPase activation,  Cytoplasm, Acetylation"
Q9JIW9," Membrane,  GTP-binding,  Lipoprotein,  Cell cycle,  Cell membrane,  Methylation,  Cell division,  Nucleotide-binding, Hydrolase,  Reference proteome, Apoptosis, Prenylation"
Q7TNC4," Phosphoprotein,  Coiled coil, Reference proteome, Alternative splicing,  Nucleus,  Hydroxylation"
Q99KN9," Membrane,  Phosphoprotein, Lipid-binding,  Cytoplasm, Alternative splicing,  Reference proteome,  Endocytosis,  Cytoplasmic vesicle"
Q9CX56," Reference proteome, Isopeptide bond,  Ubl conjugation,  Proteasome"
P39447," Membrane,  Phosphoprotein,  Tight junction,  Cell membrane, Gap junction,  Calmodulin-binding,  Repeat, 3D-structure, SH3 domain,  Cytoplasm,  Reference proteome,  Cell junction"
Q9R0U0,"Phosphoprotein,  mRNA processing,  mRNA splicing, Alternative splicing,  Nucleus,  RNA-binding,  Reference proteome"
P59017," Membrane,  Phosphoprotein,  Mitochondrion,  Transmembrane helix,  Reference proteome, Repeat,  Transmembrane, Apoptosis"
P23242," Membrane,  Ubl conjugation,  Cell membrane, Endoplasmic reticulum,  Disulfide bond, Phosphoprotein,  Isopeptide bond, Acetylation, Transmembrane helix,  Reference proteome,  Transmembrane,  Gap junction,  S-nitrosylation,  Cell junction"
Q9JIX8," Apoptosis, mRNA processing,  Alternative splicing,  Phosphoprotein,  Ubl conjugation,  Methylation, Reference proteome,  Isopeptide bond,  mRNA splicing, Acetylation,  Nucleus"
Q8BR92," Membrane,  Lipoprotein,  Coiled coil,  Prenylation,  Palmitate,  Methylation, Phosphoprotein,  Reference proteome, Cell membrane"
Q9QUR6," Protease,  Hydrolase, Serine protease,  Cytoplasm, Acetylation,  Reference proteome"
P63080," Membrane,  Receptor,  Transport,  Cell membrane, Cytoplasmic vesicle, Cell junction,  Disulfide bond,  Ligand-gated ion channel,  Synapse, Ion transport, Postsynaptic cell membrane,  Glycoprotein,  Transmembrane helix,  Chloride,  Reference proteome,  Ion channel,  Signal,  Chloride channel, Transmembrane"
Q2TPA8," Reference proteome,  Peroxisome, Acetylation,  Oxidoreductase,  NADP"
Q60817," Transport,  Phosphoprotein,  Alternative splicing,  Ubl conjugation,  Chaperone, Reference proteome,  DNA-binding,  Cytoplasm, Acetylation,  Protein transport,  Nucleus, Isopeptide bond,  Transcription"
Q9R1Q8," Reference proteome,  Phosphoprotein, Direct protein sequencing"
P56959," Zinc-finger,  Ubl conjugation,  Methylation, Zinc, Phosphoprotein,  Repeat,  Isopeptide bond, DNA-binding,  Nucleus,  RNA-binding,  Reference proteome,  Metal-binding"
Q61074," Myristate,  Phosphoprotein,  Lipoprotein, Membrane,  Cell cycle,  Methylation,  Magnesium,  Hydrolase,  Repeat,  Manganese, Acetylation,  Nucleus, Protein phosphatase,  Reference proteome,  Metal-binding"
Q8C2Q3," Phosphoprotein,  Alternative splicing,  Immunity,  Ubl conjugation,  Repeat,  Transcription regulation,  Cytoplasm, Acetylation, RNA-binding,  Innate immunity,  Nucleus,  Reference proteome, Isopeptide bond,  Transcription"
P62908," Membrane,  Apoptosis, Mitochondrion inner membrane, Direct protein sequencing,  DNA damage, Transcription,  Cell cycle,  Methylation, Reference proteome,  Cell division,  Cytoplasm,  Mitosis,  DNA repair,  Cytoskeleton,  Lyase, Ubl conjugation,  Mitochondrion,  Transcription regulation,  RNA-binding,  Phosphoprotein,  Ribosomal protein,  DNA-binding, Acetylation,  Nucleus,  Translation regulation, Isopeptide bond,  Ribonucleoprotein"
Q9Z0X1," Acetylation,  Apoptosis,  Flavoprotein,  Alternative splicing, Membrane,  Phosphoprotein,  Mitochondrion inner membrane,  NAD, Ubl conjugation,  Mitochondrion,  DNA-binding, 3D-structure,  FAD,  Isopeptide bond, Oxidoreductase,  Cytoplasm,  Transit peptide,  Nucleus, Direct protein sequencing,  Reference proteome"
Q9DBR7," Cytoskeleton, Phosphoprotein,  Repeat,  ANK repeat,  Cytoplasm, Alternative splicing,  Reference proteome,  Hydroxylation"
Q64487," Membrane,  Receptor,  Alternative splicing,  Immunoglobulin domain, Reference proteome,  Disulfide bond,  Protein phosphatase, 3D-structure,  Repeat, Hydrolase,  Glycoprotein,  Transmembrane helix,  Signal,  Transmembrane"
Q9JMA1," Acetylation,  Membrane,  Phosphoprotein,  Immunity,  Cell membrane,  Protease, Reference proteome,  Hydrolase, 3D-structure,  Cytoplasm,  Ubl conjugation pathway, Innate immunity,  Proteasome,  Thiol protease"
Q78PY7," Phosphoprotein, Transcription regulation, Nucleus,  Ubl conjugation,  Hydrolase,  Nuclease,  Isopeptide bond,  Repeat,  Cytoplasm, Acetylation,  Reference proteome,  Endonuclease,  Transcription"
P19324," Direct protein sequencing,  Phosphoprotein,  Chaperone,  Stress response, Glycoprotein, Acetylation,  Endoplasmic reticulum,  Reference proteome,  Signal"
O70318," Membrane,  Cytoskeleton,  Phosphoprotein,  Transport,  Cell cycle,  Cell membrane, Reference proteome,  Cell division,  Actin-binding, Acetylation,  Mitosis, Cytoplasm"
Q6PD10,"Phosphoprotein,  Nucleotide-binding,  Transferase, ATP-binding,  Cytoplasm,  Nucleus,  Reference proteome,  Kinase"
Q9CQ69," Membrane,  Direct protein sequencing,  Phosphoprotein,  Respiratory chain,  Mitochondrion inner membrane, Reference proteome, Mitochondrion, Acetylation,  Transmembrane helix, Transport,  Transmembrane,  Electron transport"
Q9R0P2," DNA repair,  Direct protein sequencing,  Phosphoprotein,  Alternative splicing,  Methylation, DNA-binding,  Cytoplasm, Differentiation,  Biological rhythms, Acetylation,  Nucleus,  Ubl conjugation pathway,  Reference proteome,  DNA damage, Transferase"
A2AP18," Membrane,  Transducer,  Cell membrane,  Hydrolase, Phosphoprotein,  Repeat,  Cytoplasm,  Calcium, Alternative splicing, Lipid degradation,  Reference proteome,  Metal-binding,  Lipid metabolism"
Q91YQ5,"Membrane, Ubl conjugation,  Isopeptide bond, Acetylation,  Glycoprotein,  Endoplasmic reticulum,  Transmembrane helix,  Reference proteome,  Signal,  Transmembrane"
Q9Z2C4," Phosphoprotein, Membrane,  Cell membrane,  Hydrolase,  Cytoplasm, Acetylation,  Reference proteome,  Lipid metabolism"
Q9CY58," Phosphoprotein,  Alternative splicing, Nucleus,  Ubl conjugation,  Methylation,  Isopeptide bond,  Cytoplasm, Acetylation,  RNA-binding,  Reference proteome"
Q9Z1X4," Acetylation,  Direct protein sequencing, Methylation,  Phosphoprotein,  Alternative splicing,  Ubl conjugation,  Antiviral defense,  DNA-binding, 3D-structure,  Isopeptide bond,  Repeat,  Transcription regulation, RNA-binding,  Nucleus,  Reference proteome, Cytoplasm,  Transcription"
Q91WM1," Cytoskeleton,  Developmental protein,  Methylation,  DNA-binding,  Repeat,  Spermatogenesis,  Cytoplasm, Differentiation, Alternative splicing, RNA-binding,  Reference proteome"
O55234," Direct protein sequencing,  Threonine protease,  Zymogen,  Hydrolase, 3D-structure,  Cytoplasm, Protease,  Nucleus,  Reference proteome,  Proteasome"
Q9JLI8," Phosphoprotein,  Coiled coil,  Alternative splicing, mRNA processing,  Methylation, Reference proteome,  Repeat,  mRNA splicing,  Cytoplasm, Acetylation,  Nucleus,  RNA-binding"
O88643," Membrane,  Exocytosis,  Apoptosis, Nucleotide-binding,  Phosphoprotein,  Allosteric enzyme,  ATP-binding,  Chromosome,  Transferase,  Cytoplasm, Acetylation, Serine/threonine-protein kinase,  Cell projection,  Nucleus, Direct protein sequencing,  Reference proteome,  Kinase, Cell membrane,  Cell junction"
P10922,"Nucleus,  DNA-binding,  Citrullination,  Chromosome, Acetylation,  Reference proteome,  ADP-ribosylation"
P99027," Direct protein sequencing,  Phosphoprotein,  Ribosomal protein, Acetylation,  Reference proteome, Ribonucleoprotein"
P22599," Signal,  Serine protease inhibitor, Secreted,  Glycoprotein,  Reference proteome, Acute phase,  Protease inhibitor"
Q6PDI5," Cytoskeleton,  Phosphoprotein,  Endosome, Proteasome,  Ubl conjugation, Endoplasmic reticulum,  Repeat,  Isopeptide bond,  Cytoplasm, Alternative splicing,  Nucleus,  Reference proteome,  Cytoplasmic vesicle"
P58771," Phosphoprotein,  Coiled coil,  Alternative splicing,  Muscle protein,  Actin-binding,  Cytoplasm, Acetylation,  Reference proteome, Cytoskeleton"
Q80U04," Zinc,  Phosphoprotein, Membrane,  Alternative splicing, Transferase,  Zinc-finger,  Cell membrane,  Golgi apparatus,  Synapse,  Cytoplasm, Acetylation,  Ubl conjugation pathway,  Endoplasmic reticulum, Direct protein sequencing,  Reference proteome,  Metal-binding,  Cell junction"
Q9CS42," Direct protein sequencing, Transferase,  Magnesium,  Nucleotide-binding, ATP-binding, Nucleotide biosynthesis,  Reference proteome,  Metal-binding,  Kinase"
P28352,"DNA repair,  Magnesium,  DNA recombination, Hydrolase,  Endoplasmic reticulum, Direct protein sequencing,  Reference proteome,  DNA damage,  Ubl conjugation,  Cytoplasm,  Endonuclease,  Exonuclease,  Mitochondrion,  Disulfide bond,  Nuclease, Phosphoprotein, S-nitrosylation,  Transcription regulation,  RNA-binding,  Activator,  Cleavage on pair of basic residues,  DNA-binding, Acetylation,  Nucleus,  Repressor,  Transcription,  Metal-binding"
P60904," Acetylation,  Direct protein sequencing,  Membrane,  Lipoprotein,  Phosphoprotein,  Cell membrane,  Chaperone, Cytoplasmic vesicle, 3D-structure,  Cytoplasm, Palmitate,  Reference proteome"
O35286,"mRNA processing,  Ubl conjugation,  ATP-binding,  Hydrolase,  Helicase,  Isopeptide bond,  Nucleotide-binding,  mRNA splicing, Phosphoprotein, Acetylation,  Nucleus,  Reference proteome"
Q80SW1," Membrane,  Direct protein sequencing,  Cell membrane, Endoplasmic reticulum,  NAD, Phosphoprotein,  Microsome,  Cytoplasm, Acetylation,  RNA-binding,  Reference proteome,  One-carbon metabolism"
Q68FL4," Phosphoprotein,  Alternative splicing,  NAD, Reference proteome,  Microsome,  Cytoplasm, Acetylation, Hydrolase,  Endoplasmic reticulum,  One-carbon metabolism"
O35927," Transcription, Transcription regulation,  Cell adhesion,  Developmental protein,  Methylation, Phosphoprotein,  Repeat, Alternative splicing,  Cell projection,  Glycoprotein,  Nucleus,  Reference proteome, Coiled coil,  Cell junction"
O35343," Transport,  Phosphoprotein, Reference proteome,  Repeat,  Cytoplasm, Acetylation,  Protein transport,  Nucleus"
Q8CHG7," Membrane,  Endosome,  Ubl conjugation,  Cell membrane,  Developmental protein, Cell junction, Phosphoprotein,  GTPase activation,  Cytoplasm, Differentiation,  Neurogenesis,  Reference proteome, Guanine-nucleotide releasing factor"
Q91ZX7," Membrane,  Receptor, Endocytosis,  Transmembrane helix,  Reference proteome, Cytoskeleton, Synapse,  Golgi apparatus,  Cytoplasm,  Glycoprotein,  Transmembrane,  Cell junction,  Disulfide bond,  Calcium,  Signal,  Phosphoprotein, Nucleus,  Cell membrane,  Developmental protein,  EGF-like domain,  Repeat, Acetylation,  Metal-binding,  Coated pit"
P28271," Lyase,  Iron, Reference proteome,  Iron-sulfur,  Cytoplasm,  RNA-binding, 4Fe-4S,  Tricarboxylic acid cycle,  Metal-binding"
P24547," Direct protein sequencing,  Phosphoprotein,  Ubl conjugation,  CBS domain,  Potassium,  NAD, Reference proteome,  DNA-binding,  Isopeptide bond, GMP biosynthesis, Oxidoreductase,  Repeat,  Cytoplasm, Acetylation,  Nucleus,  Purine biosynthesis,  RNA-binding,  Metal-binding"
Q923D5," Phosphoprotein,  Coiled coil, mRNA processing,  Ubl conjugation,  Methylation, Reference proteome,  Isopeptide bond,  mRNA splicing,  Cytoplasm, Acetylation,  Nucleus,  rRNA processing"
P61226," GTP-binding,  Lipoprotein,  Endosome, Membrane,  Palmitate,  Prenylation,  Methylation, Reference proteome,  Hydrolase,  Nucleotide-binding, Direct protein sequencing"
Q80ZJ1," Membrane,  Direct protein sequencing,  GTP-binding,  Endosome,  Lipoprotein,  Prenylation,  Ubl conjugation,  Methylation,  Nucleotide-binding, Hydrolase, Palmitate, Alternative splicing,  Reference proteome"
Q9Z255," DNA repair,  Phosphoprotein, Reference proteome,  Nucleotide-binding,  Transferase, ATP-binding,  Ubl conjugation pathway,  DNA damage"
Q8C878,"Nucleotide-binding,  Alternative splicing,  Ligase,  Cell cycle,  ATP-binding,  Ubl conjugation pathway, Acetylation,  Reference proteome"
Q6PDG5," Phosphoprotein,  Coiled coil,  Alternative splicing,  Ubl conjugation,  Transcription regulation,  Neurogenesis,  Chromatin regulator, Acetylation,  Nucleus,  Reference proteome, Isopeptide bond, Transcription"
Q9DBG3," Acetylation,  Membrane,  Phosphoprotein,  Transport,  Alternative splicing,  Cell membrane, Endocytosis, Reference proteome, 3D-structure,  Protein transport,  Coated pit"
A2A690," Phosphoprotein, Synapse,  Methylation,  Repeat,  ANK repeat, Glycoprotein, Alternative splicing,  Cell projection,  TPR repeat,  Reference proteome,  Cell junction"
O55047," Cytoskeleton,  Cell cycle,  Developmental protein,  ATP-binding, Phosphoprotein,  Nucleotide-binding, Spermatogenesis,  Transferase,  Serine/threonine-protein kinase,  Cytoplasm,  Chromatin regulator, Alternative splicing, Differentiation,  Nucleus,  Reference proteome,  DNA damage, Coiled coil,  Kinase"
P70288," Phosphoprotein,  Ubl conjugation,  Hydrolase, S-nitrosylation,  Transcription regulation,  Cytoplasm,  Biological rhythms, Acetylation,  Chromatin regulator,  Nucleus,  Reference proteome, Isopeptide bond,  Repressor,  Transcription"
P54071," Acetylation,  Direct protein sequencing, Tricarboxylic acid cycle, Magnesium,  Stress response,  Mitochondrion, Reference proteome, 3D-structure,  Manganese,  Transit peptide,  Glyoxylate bypass,  Oxidoreductase,  Metal-binding,  NADP"
