Uniprot Entry,Accession Name,Name,Organism,Biological Process Label,Brain Part,Molecular Function Label,Cellular Component Label
Q9R0P3,ESTD_MOUSE,S-formylglutathione hydrolase,Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0098754",Medulla,"GO:0003824, GO:0005488",GO:0043226
D3Z7P3,GLSK_MOUSE,"Glutaminase kidney isoform, mitochondrial",Mus musculus (Mouse),"GO:0023052, GO:0065007, GO:0007610, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0031974, GO:0043226, GO:0005622, GO:0030054"
Q62465,VAT1_MOUSE,Synaptic vesicle membrane protein VAT-1 homolog,Mus musculus (Mouse),GO:0065007,Medulla,"GO:0003824, GO:0005488",GO:0016020
Q8K0T0,RTN1_MOUSE,Reticulon-1,Mus musculus (Mouse),,Medulla,,"GO:0043226, GO:0016020, GO:0005622, GO:0031224"
Q71LX4,TLN2_MOUSE,Talin-2,Mus musculus (Mouse),"GO:0009987, GO:0022610",Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0016020, GO:0005622, GO:0030054, GO:0042995"
Q9QXL2,KI21A_MOUSE,Kinesin-like protein KIF21A,Mus musculus (Mouse),GO:0009987,Medulla,"GO:0003824, GO:0005488","GO:0005875, GO:0016020, GO:0042995, GO:0099080"
Q99JY9,ARP3_MOUSE,Actin-related protein 3,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0022414",Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0016020, GO:0005622, GO:0090734, GO:0098862, GO:0030054, GO:0036284, GO:0042995, GO:0031252"
Q91V41,FT,Ras-related protein Rab-14,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0050896, GO:0009987, GO:0044419",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0031984"
P21107,TPM3_MOUSE,Tropomyosin alpha-3 chain,Mus musculus (Mouse),"GO:0009987, GO:0032501",Medulla,GO:0005488,"GO:0043226, GO:0032432, GO:0099080, GO:0005622, GO:0042641, GO:0030427, GO:0042995"
P12367,KAP2_MOUSE,cAMP-dependent protein kinase type II-alpha regulatory subunit,Mus musculus (Mouse),GO:0065007,Medulla,"GO:0005488, GO:0098772","GO:0140535, GO:0016020, GO:0005815, GO:0030054, GO:1902494"
Q3TXX4,VGLU1_MOUSE,Vesicular glutamate transporter 1,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0007610, GO:0023052, GO:0032502, GO:0009987, GO:0032501",Medulla,GO:0005215,"GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0030054, GO:0042995"
Q9Z1R2,BAG6_MOUSE,Large proline-rich protein BAG6 {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0022414",Medulla,GO:0005488,"GO:0072379, GO:0043226, GO:0005622"
Q8CGP6,H2A1H_MOUSE,Histone H2A type 1-H,Mus musculus (Mouse),"GO:0065007, GO:0009987",Medulla,GO:0005488,"GO:0044815, GO:0032993"
P27661,H2AX_MOUSE,Histone H2AX,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0022414",Medulla,GO:0005488,"GO:0043226, GO:0044815, GO:0005622, GO:0098687, GO:0090734, GO:0005815, GO:0032993, GO:0016604"
P22599,A1AT2_MOUSE,Alpha-1-antitrypsin 1-2,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0005488, GO:0098772","GO:0043226, GO:0005622"
P08556,FT,GTPase NRas,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0009987, GO:0002376, GO:0044419",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622"
P35282,FT,Ras-related protein Rab-21,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005737, GO:0016020, GO:0098552, GO:0030054, GO:0042995, GO:0031984"
O35633,VIAAT_MOUSE,Vesicular inhibitory amino acid transporter,Mus musculus (Mouse),"GO:0051179, GO:0032502",Medulla,GO:0005215,"GO:0098793, GO:0043226, GO:0031224, GO:0044306, GO:0016020, GO:0005622, GO:0060187, GO:0030054, GO:0042995"
P55264,ADK_MOUSE,Adenosine kinase,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
O08529,CAN2_MOUSE,Calpain-2 catalytic subunit,Mus musculus (Mouse),"GO:0065007, GO:0007610, GO:0050896, GO:0032502, GO:0051704, GO:0009987, GO:0008152, GO:0022414, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0044297, GO:0016020, GO:0005622, GO:0031974, GO:0098552, GO:0030054, GO:0042995"
Q64012,RALY_MOUSE,RNA-binding protein Raly,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152",Medulla,"GO:0005488, GO:0140110, GO:0098772","GO:0043226, GO:0005622, GO:1990904, GO:0140513, GO:1902494"
P50172,DHI1_MOUSE,Corticosteroid 11-beta-dehydrogenase isozyme 1,Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0065007",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622, GO:0031224"
Q8VE06,HP1B3_MOUSE,Heterochromatin protein 1-binding protein 3,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0050896",Medulla,GO:0005488,"GO:0043226, GO:0044815, GO:0005622, GO:0032993, GO:0016604"
P62492,FT,Ras-related protein Rab-11A,Mus musculus (Mouse),"GO:0065007, GO:0032501, GO:0009987, GO:0051179",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0099080, GO:0016020, GO:0005622, GO:0030054, GO:0042995, GO:0031984"
O35526,STX1A_MOUSE,Syntaxin-1A,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0008152",Medulla,"GO:0005488, GO:0060090, GO:0098772","GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0030054, GO:0042995, GO:0098796, GO:1990351"
Q8BZ98,DYN3_MOUSE,Dynamin-3,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152, GO:0051179",Medulla,"GO:0003824, GO:0005488, GO:0005198","GO:0043226, GO:0005576, GO:0099080, GO:0016020, GO:0005622, GO:0098794, GO:0030054, GO:0036284, GO:0042995"
Q9D1J3,SARNP_MOUSE,SAP domain-containing ribonucleoprotein,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0009987",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0005622, GO:0140513, GO:0016604"
P21271,MYO5B_MOUSE,Unconventional myosin-Vb,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0051179",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005737, GO:0044297, GO:0016020, GO:0005622, GO:0098794, GO:0098862, GO:0042995, GO:0030054"
Q61545,EWS_MOUSE,RNA-binding protein EWS,Mus musculus (Mouse),GO:0065007,Medulla,"GO:0005488, GO:0140110, GO:0098772","GO:0043226, GO:0016020, GO:0005622"
Q9D0M3,CY1_MOUSE,"Cytochrome c1, heme protein, mitochondrial",Mus musculus (Mouse),"GO:0008152, GO:0009987, GO:0051179, GO:0050896",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0031224, GO:0098798, GO:0016020, GO:0005622, GO:0070069, GO:1902494, GO:0098796"
P63040,CPLX1_MOUSE,Complexin-1,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179",Medulla,"GO:0005215, GO:0005488","GO:0098793, GO:0044297, GO:0044306, GO:0030054, GO:0042995, GO:0098796"
Q9CXZ1,NDUS4_MOUSE,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0007610, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0044419, GO:0032501",Medulla,GO:0003824,"GO:0043226, GO:0098798, GO:0005622, GO:1902494, GO:0098796"
Q61301,CTNA2_MOUSE,Catenin alpha-2,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0040011, GO:0022610",Medulla,GO:0005488,"GO:0043226, GO:0005737, GO:0016020, GO:0005622, GO:0019898, GO:0030054, GO:0042995"
O35643,AP1B1_MOUSE,AP-1 complex subunit beta-1,Mus musculus (Mouse),"GO:0051179, GO:0032502, GO:0009987, GO:0032501",Medulla,GO:0005488,"GO:0043226, GO:0016020, GO:0005622, GO:0031984, GO:0098796"
P26039,TLN1_MOUSE,Talin-1,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0022610",Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0016020, GO:0005622, GO:0031256, GO:0030054, GO:0042995"
P47963,RL13_MOUSE,60S ribosomal protein L13,Mus musculus (Mouse),"GO:0008152, GO:0032502, GO:0009987",Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0005622, GO:1990904"
Q9Z0R4,ITSN1_MOUSE,Intersectin-1,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0051179",Medulla,"GO:0005488, GO:0098772","GO:0098793, GO:0043226, GO:0044297, GO:0044306, GO:0016020, GO:0005622, GO:0098794, GO:0031975, GO:0030054, GO:0042995"
P14733,FT,Lamin-B1,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0050896",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0016020, GO:0005622, GO:0031975"
Q93092,TALDO_MOUSE,Transaldolase,Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
Q80W54,FACE1_MOUSE,CAAX prenyl protease 1 homolog,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0007610, GO:0023052, GO:0110148, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0016020, GO:0031975, GO:0031224"
A2AG50,MA7D2_MOUSE,MAP7 domain-containing protein 2,Mus musculus (Mouse),GO:0009987,Medulla,,"GO:0043226, GO:0005622"
Q8BWF0,FT,"Succinate-semialdehyde dehydrogenase, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
Q8VDQ8,SIR2_MOUSE,NAD-dependent protein deacetylase sirtuin-2,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0009987, GO:0008152, GO:0022414",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0099080, GO:0016020, GO:0005815, GO:0005622, GO:0000785, GO:0030427, GO:0030054, GO:0042995"
E9Q3L2,PI4KA_MOUSE,Phosphatidylinositol 4-kinase alpha,Mus musculus (Mouse),"GO:0065007, GO:0051704, GO:0009987, GO:0008152, GO:0044419",Medulla,"GO:0003824, GO:0005488","GO:0018995, GO:0016020"
Q8K0E8,FT,Fibrinogen beta chain,Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0009987, GO:0022610, GO:0002376, GO:0008152, GO:0044419, GO:0032501",Medulla,GO:0005488,"GO:0043226, GO:0005737, GO:0005622, GO:0030312, GO:0098552"
Q8R071,IP3KA_MOUSE,Inositol-trisphosphate 3-kinase A,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0098794, GO:0042995, GO:0005622"
Q8VBV7,CSN8_MOUSE,COP9 signalosome complex subunit 8,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152",Medulla,,"GO:0140513, GO:0043226, GO:0005622"
Q6P9K8,CSKI1_MOUSE,Caskin-1,Mus musculus (Mouse),"GO:0065007, GO:0009987",Medulla,GO:0005488,
Q91VR5,DDX1_MOUSE,ATP-dependent RNA helicase DDX1,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0044419, GO:0032501",Medulla,"GO:0003824, GO:0005488, GO:0140110, GO:0098772","GO:0043226, GO:0140535, GO:0099080, GO:0005622, GO:0016604"
Q9QYX7,PCLO_MOUSE,Protein piccolo {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179",Medulla,"GO:0005488, GO:0005198","GO:0098793, GO:0043226, GO:0005737, GO:0044297, GO:0044306, GO:0005622, GO:0030427, GO:0030054, GO:0042995, GO:0031984"
Q61699,HS105_MOUSE,Heat shock protein 105 kDa,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0050896",Medulla,"GO:0005488, GO:0098772","GO:0043226, GO:0005622"
Q9D0J8,PTMS_MOUSE,Parathymosin,Mus musculus (Mouse),,Medulla,GO:0005488,
Q80TV8,CLAP1_MOUSE,CLIP-associating protein 1,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179",Medulla,GO:0005488,"GO:0043226, GO:0005737, GO:0099080, GO:0005815, GO:0005622"
P29341,PABP1_MOUSE,Polyadenylate-binding protein 1,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0005622, GO:1990904, GO:0030054, GO:0140513, GO:1902494, GO:0042995"
P68404,KPCB_MOUSE,Protein kinase C beta type,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0002376, GO:0008152",Medulla,"GO:0003824, GO:0005488, GO:0140110, GO:0098772","GO:0098793, GO:0043226, GO:0044306, GO:0016020, GO:0005622, GO:0005815"
Q80XI4,PI42B_MOUSE,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta {ECO:0000305},Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622"
O70172,PI42A_MOUSE,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622"
Q99KH8,STK24_MOUSE,Serine/threonine-protein kinase 24,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152, GO:0050896",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622"
Q8K1M6,DNM1L_MOUSE,Dynamin-1-like protein,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0099080, GO:0016020, GO:0005622, GO:0098862"
Q80SW1,SAHH2_MOUSE,S-adenosylhomocysteine hydrolase-like protein 1,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0008152",Medulla,GO:0005488,"GO:0043226, GO:0016020, GO:0005622, GO:0044232"
Q9Z0F7,SYUG_MOUSE,Gamma-synuclein,Mus musculus (Mouse),"GO:0065007, GO:0023052, GO:0007610, GO:0051179, GO:0009987, GO:0032501",Medulla,GO:0005488,"GO:0098793, GO:0043226, GO:0044297, GO:0044306, GO:0016020, GO:0005622, GO:0005815, GO:0042995"
Q5TLK5,FT,Disintegrin and metalloproteinase domain-containing protein 22,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0007610, GO:0032502, GO:0009987, GO:0032501",Medulla,GO:0003824,"GO:0016020, GO:0042995, GO:0031224, GO:0030054"
P27601,FT,Guanine nucleotide-binding protein subunit alpha-13,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622, GO:1902494, GO:0098796"
Q80Y17,L2GL1_MOUSE,Lethal(2) giant larvae protein homolog 1,Mus musculus (Mouse),"GO:0051179, GO:0032502, GO:0065007, GO:0009987",Medulla,"GO:0005488, GO:0098772","GO:0043226, GO:0016020, GO:0005622, GO:0042995, GO:0031984"
Q8CI94,PYGB_MOUSE,"Glycogen phosphorylase, brain form",Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0003824, GO:0005488",GO:0042995
Q8CCK0,H2AW_MOUSE,Core histone macro-H2A.2,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0051179",Medulla,GO:0005488,"GO:0043226, GO:0044815, GO:0032993, GO:0005622"
Q6GQS1,SCMC3_MOUSE,Calcium-binding mitochondrial carrier protein SCaMC-3,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0050896, GO:0051179",Medulla,"GO:0005215, GO:0005488","GO:0043226, GO:0016020, GO:0005622, GO:0031224"
Q0KL02,FT,Triple functional domain protein,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987",Medulla,"GO:0003824, GO:0005488, GO:0098772",GO:0043226
O88487,DC1I2_MOUSE,Cytoplasmic dynein 1 intermediate chain 2,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:1902494, GO:0005875, GO:0099080"
Q9JM52,MINK1_MOUSE,Misshapen-like kinase 1,Mus musculus (Mouse),"GO:0065007, GO:0023052, GO:0050896, GO:0032502, GO:0009987, GO:0002376, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0042995"
P45591,COF2_MOUSE,Cofilin-2,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0040011",Medulla,GO:0005488,"GO:0043226, GO:0005622"
Q99JP6,HOME3_MOUSE,Homer protein homolog 3 {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0009987",Medulla,GO:0005488,"GO:0043226, GO:0016020, GO:0042995"
Q9CS84,FT,Neurexin-1,Mus musculus (Mouse),"GO:0065007, GO:0023052, GO:0007610, GO:0051179, GO:0051703, GO:0050896, GO:0009987, GO:0022610, GO:0032501",Medulla,"GO:0005488, GO:0060089, GO:0098772","GO:0043226, GO:0031224, GO:0044297, GO:0016020, GO:0005622, GO:0030054"
Q9D394,RUFY3_MOUSE,Protein RUFY3 {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0009987",Medulla,,"GO:0030427, GO:0042995, GO:0044297"
Q2TPA8,HSDL2_MOUSE,Hydroxysteroid dehydrogenase-like protein 2,Mus musculus (Mouse),,Medulla,GO:0003824,"GO:0043226, GO:0005622"
Q9QYC0,ADDA_MOUSE,Alpha-adducin,Mus musculus (Mouse),"GO:0065007, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0016020, GO:0005622, GO:0098794, GO:0030054, GO:0042995"
Q91VN4,FT,MICOS complex subunit Mic25,Mus musculus (Mouse),"GO:0009987, GO:0050896",Medulla,,"GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0098796"
P63325,RS10_MOUSE,40S ribosomal protein S10,Mus musculus (Mouse),GO:0009987,Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0005622, GO:1990904"
Q9CZ44,NSF1C_MOUSE,NSFL1 cofactor p47,Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152, GO:0051179",Medulla,GO:0005488,"GO:0043226, GO:0016020, GO:0005815, GO:0005622, GO:0031984"
Q8BI84,TGO1_MOUSE,Transport and Golgi organization protein 1 homolog {ECO:0000305},Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0009987, GO:0040011",Medulla,,"GO:0043226, GO:0016020, GO:0005622, GO:0031224"
Q91887,RL40_RAT,Ubiquitin-60S ribosomal protein L40,"Homo sapiens (Human), Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus), Bos taurus (Bovine), Xenopus laevis (African clawed frog), Gallus gallus (Chicken), Mus musculus (Mouse), Oryctolagus cuniculus (Rabbit), Cavia porcellus (Guinea pig), Sus scrofa (Pig), Rattus norvegicus (Rat)","GO:0065007, GO:0051179, GO:0050896, GO:0032502, GO:0051704, GO:0009987, GO:0008152, GO:0022414, GO:0044419, GO:0032501",Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0044297, GO:0016020, GO:0005622, GO:1990904, GO:0018995, GO:0098552, GO:0030054, GO:0042995"
Q80TY0,FNBP1_MOUSE,Formin-binding protein 1,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0032502, GO:0009987",Medulla,GO:0005488,"GO:0043226, GO:0016020, GO:0005622, GO:0005737"
P51150,FT,Ras-related protein Rab-7a,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0009987, GO:0008152, GO:0044419",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0019898"
Q9DAW9,CNN3_MOUSE,Calponin-3,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987",Medulla,GO:0005488,"GO:0043226, GO:0044297, GO:0098794, GO:0005622, GO:0042995"
Q9WTQ5,FT,A-kinase anchor protein 12,Mus musculus (Mouse),"GO:0065007, GO:0032501, GO:0009987, GO:0050896",Medulla,"GO:0005488, GO:0060090","GO:0043226, GO:0044297, GO:0016020, GO:0005622, GO:0030054"
Q60899,ELAV2_MOUSE,ELAV-like protein 2,Mus musculus (Mouse),"GO:0009987, GO:0050896",Medulla,GO:0005488,
P14094,FT,Sodium/potassium-transporting ATPase subunit beta-1,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0022610, GO:0008152, GO:0032501",Medulla,"GO:0003824, GO:0005215, GO:0005488, GO:0098772","GO:0043226, GO:0016020, GO:0030054, GO:0042995, GO:0098796, GO:1990351"
Q498A3,CALM3_MOUSE,Calmodulin-3 {ECO:0000250|UniProtKB:P0DP25},Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0051179, GO:0050896",Medulla,"GO:0005488, GO:0098772","GO:0043226, GO:0099080, GO:0016020, GO:0005622, GO:0005815, GO:0030427, GO:0042995, GO:0098796, GO:1990351"
Q9JKY5,HIP1R_MOUSE,Huntingtin-interacting protein 1-related protein,Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0051179",Medulla,"GO:0005488, GO:0060090","GO:0043226, GO:0005737, GO:0044297, GO:0016020, GO:0005622, GO:0098794, GO:0031256, GO:0042995"
P00405,COX2_MOUSE,Cytochrome c oxidase subunit 2,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0008152",Medulla,"GO:0003824, GO:0005215, GO:0005488","GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0070069, GO:0098796"
P70195,PSB7_MOUSE,Proteasome subunit beta type-7,Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,GO:0003824,"GO:0043226, GO:1902494, GO:0005622, GO:0140535"
Q3TWI9,CSCL2_MOUSE,CSC1-like protein 2,Mus musculus (Mouse),,Medulla,"GO:0005215, GO:0060089, GO:0140299","GO:0043226, GO:0016020, GO:0005622, GO:0031224"
P61294,FT,Ras-related protein Rab-6B,Mus musculus (Mouse),"GO:0051179, GO:0009987",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622"
P61161,ARP2_MOUSE,Actin-related protein 2,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0007610, GO:0050896, GO:0009987, GO:0022414, GO:0032501",Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0005737, GO:0005622, GO:0090734, GO:0042995"
Q8R366,FT,Immunoglobulin superfamily member 8,Mus musculus (Mouse),GO:0065007,Medulla,,"GO:0043226, GO:0031224, GO:0016020, GO:0005622, GO:0030054, GO:0042995"
Q60817,NACA_MOUSE,Nascent polypeptide-associated complex subunit alpha,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0040011",Medulla,"GO:0005488, GO:0098772, GO:0140110","GO:0043226, GO:0005622"
Q9ESN6,TRIM2_MOUSE,Tripartite motif-containing protein 2,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488",
Q4KUS2,UN13A_MOUSE,Protein unc-13 homolog A {ECO:0000305},Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0023052, GO:0032502, GO:0009987, GO:0008152, GO:0032501",Medulla,GO:0005488,"GO:0098793, GO:0043226, GO:0005737, GO:0044306, GO:0016020, GO:0030054, GO:0042995"
Q9D7P6,ISCU_MOUSE,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",Mus musculus (Mouse),"GO:0065007, GO:0009987, GO:0008152",Medulla,GO:0005488,"GO:0031974, GO:0043226, GO:0005622"
P55012,FT,Solute carrier family 12 member 2,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0040011, GO:0002376, GO:0032501",Medulla,"GO:0005215, GO:0005488","GO:0016020, GO:0042995, GO:0031224, GO:0044297"
P80315,TCPD_MOUSE,T-complex protein 1 subunit delta,Mus musculus (Mouse),"GO:0065007, GO:0022414, GO:0009987, GO:0051179",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0005815, GO:0101031, GO:0042995"
Q9D855,QCR7_MOUSE,Cytochrome b-c1 complex subunit 7,Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,,"GO:0043226, GO:0098798, GO:0016020, GO:0005622, GO:0070069, GO:1902494, GO:0098796"
Q922D8,C1TC_MOUSE,"C-1-tetrahydrofolate synthase, cytoplasmic",Mus musculus (Mouse),"GO:0065007, GO:0032502, GO:0009987, GO:0002376, GO:0008152",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622"
Q8R3B1,PLCD1_MOUSE,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-1",Mus musculus (Mouse),"GO:0065007, GO:0050896, GO:0032502, GO:0009987, GO:0008152, GO:0022414",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0016020, GO:0005622"
Q9DAR7,DCPS_MOUSE,m7GpppX diphosphatase,Mus musculus (Mouse),"GO:0008152, GO:0065007, GO:0009987, GO:0050896",Medulla,"GO:0003824, GO:0005488","GO:0043226, GO:0005622, GO:0099080"
Q05BC3,EMAL1_MOUSE,Echinoderm microtubule-associated protein-like 1,Mus musculus (Mouse),"GO:0032502, GO:0009987",Medulla,GO:0005488,GO:0099080
P21619,FT,Lamin-B2,Mus musculus (Mouse),,Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0016020, GO:0005622, GO:0031975"
O55125,NIPS1_MOUSE,Protein NipSnap homolog 1,Mus musculus (Mouse),GO:0032501,Medulla,GO:0005488,"GO:0043226, GO:0016020, GO:0005622"
Q9D7S7,RL22L_MOUSE,60S ribosomal protein L22-like 1,Mus musculus (Mouse),"GO:0008152, GO:0009987",Medulla,"GO:0005488, GO:0005198","GO:0043226, GO:0005622"
Q91V14,S12A5_MOUSE,Solute carrier family 12 member 5,Mus musculus (Mouse),"GO:0051179, GO:0065007, GO:0007610, GO:0023052, GO:0040007, GO:0050896, GO:0032502, GO:0009987, GO:0032501",Medulla,"GO:0005215, GO:0005488","GO:0031224, GO:0044297, GO:0016020, GO:0031256, GO:0030054, GO:0042995"
O89053,COR1A_MOUSE,Coronin-1A,Mus musculus (Mouse),"GO:0065007, GO:0051179, GO:0050896, GO:0009987, GO:0040011, GO:0022610, GO:0002376",Medulla,GO:0005488,"GO:0043226, GO:0099080, GO:0016020, GO:0005622, GO:0030054, GO:0042995"
