Uniprot Entry,Accession Name,Protein Name,Organism,Brain Parts,Biological Process,Molecular Function,Cellular Component
Q7TPS5,C2CD5_MOUSE,C2 domain-containing protein 5 (138 kDa C2 domain-containing phosphoprotein),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
O35598,ADA10_MOUSE,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
Q8K097,LFG2_MOUSE,Protein lifeguard 2 (Fas apoptotic inhibitory molecule 2) (Neural membrane protein 35),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q8BHJ7,GBRA5_MOUSE,Gamma-aminobutyric acid receptor subunit alpha-5 (GABA(A) receptor subunit alpha-5),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus']",[],[],[]
P59281,RHG39_MOUSE,Rho GTPase-activating protein 39,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus', 'Cerebellum', 'Medulla']",[],[],[]
Q80U19,DAAM2_MOUSE,Disheveled-associated activator of morphogenesis 2,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q9WV96,T10B_MOUSE,Mitochondrial import inner membrane translocase subunit Tim10 B (Mitochondrial import inner membrane translocase subunit Tim9 B) (TIMM10B) (Tim10b),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8BZ36,RINT1_MOUSE,RAD50-interacting protein 1 (RAD50 interactor 1) (RINT-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
Q91WF7,FIG4_MOUSE,"Polyphosphoinositide phosphatase (EC 3.1.3.-) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase) (SAC domain-containing protein 3)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8CIH5,PLCG2_MOUSE,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-gamma-2) (Phospholipase C-gamma-2) (PLC-gamma-2)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P84309,ADCY5_MOUSE,Adenylate cyclase type 5 (EC 4.6.1.1) (ATP pyrophosphate-lyase 5) (Adenylate cyclase type V) (Adenylyl cyclase 5),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum', 'Medulla']",[],[],[]
P02463,CO4A1_MOUSE,Collagen alpha-1(IV) chain [Cleaved into: Arresten],Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q80X80,C2C2L_MOUSE,Phospholipid transfer protein C2CD2L (C2 domain-containing protein 2-like) (Transmembrane protein 24),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
Q8BYK5,PHAR3_MOUSE,Phosphatase and actin regulator 3 (Scaffold-associated PP1-inhibiting protein) (Scapinin),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P63141,KCNA2_MOUSE,Potassium voltage-gated channel subfamily A member 2 (MK2) (Voltage-gated potassium channel subunit Kv1.2),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8VDI9,ALG9_MOUSE,"Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P61028,RAB8B_MOUSE,Ras-related protein Rab-8B,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9WTU3,SCN8A_MOUSE,Sodium channel protein type 8 subunit alpha (Sodium channel protein type VIII subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.6),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P54254,ATX1_MOUSE,Ataxin-1 (Spinocerebellar ataxia type 1 protein homolog),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P04627,ARAF_MOUSE,Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9R0K7,AT2B2_MOUSE,Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
P11798,KCC2A_MOUSE,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus', 'Medulla']",[],[],[]
Q9CQW9,IFM3_MOUSE,Interferon-induced transmembrane protein 3 (Dispanin subfamily A member 2b) (DSPA2b) (Fragilis protein) (Interferon-inducible protein 15) (Mouse ifitm-like protein 1) (Mil-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9JLC8,SACS_MOUSE,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum', 'Medulla']",[],[],[]
Q61327,SC6A3_MOUSE,Sodium-dependent dopamine transporter (DA transporter) (DAT) (Solute carrier family 6 member 3),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Thalamus', 'Medulla']",[],[],[]
Q9DBR2,FA13C_MOUSE,Protein FAM13C,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8BHY8,SNX14_MOUSE,Sorting nexin-14,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P50571,GBRB1_MOUSE,Gamma-aminobutyric acid receptor subunit beta-1 (GABA(A) receptor subunit beta-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus', 'Medulla']",[],[],[]
Q8BRV5,K1671_MOUSE,Uncharacterized protein KIAA1671,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q149F1,RUSD2_MOUSE,RNA pseudouridylate synthase domain-containing protein 2,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9JL26,FMNL1_MOUSE,Formin-like protein 1 (Formin-related protein),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus', 'Cerebellum', 'Medulla']",[],[],[]
Q6PDH0,PHLB1_MOUSE,Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q7TPQ3,SHPRH_MOUSE,"E3 ubiquitin-protein ligase SHPRH (EC 2.3.2.27) (EC 3.6.4.-) (RING-type E3 ubiquitin transferase SHPRH) (SNF2, histone-linker, PHD and RING finger domain-containing helicase)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus']",[],[],[]
Q9JK53,PRELP_MOUSE,Prolargin (Proline-arginine-rich end leucine-rich repeat protein),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q80TA1,EPT1_MOUSE,Ethanolaminephosphotransferase 1 (EC 2.7.8.1) (Selenoprotein I) (SelI),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Thalamus']",[],[],[]
Q91WI7,ITFG2_MOUSE,KICSTOR complex protein ITFG2 (Integrin-alpha FG-GAP repeat-containing protein 2),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9WVB4,SLIT3_MOUSE,Slit homolog 3 protein (Slit-3) (Slit3),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Thalamus', 'Medulla']",[],[],[]
Q8VDT9,RM50_MOUSE,"39S ribosomal protein L50, mitochondrial (L50mt) (MRP-L50)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q99M28,RNPS1_MOUSE,RNA-binding protein with serine-rich domain 1,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
O88398,AVIL_MOUSE,Advillin (Actin-binding protein DOC6) (p92),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum', 'Medulla']",[],[],[]
Q03958,PFD6_MOUSE,Prefoldin subunit 6 (Protein Ke2),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9QZ23,NFU1_MOUSE,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (HIRA-interacting protein 5) (mHIRIP5)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
P61211,ARL1_MOUSE,ADP-ribosylation factor-like protein 1,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8VC85,LSM1_MOUSE,U6 snRNA-associated Sm-like protein LSm1,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q61554,FBN1_MOUSE,Fibrillin-1 [Cleaved into: Asprosin],Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P58269,DPF3_MOUSE,Zinc finger protein DPF3 (BRG1-associated factor 45C) (BAF45C) (Zinc finger protein cer-d4),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
P61205,ARF3_MOUSE,ADP-ribosylation factor 3,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
P52624,UPP1_MOUSE,Uridine phosphorylase 1 (UPase 1) (UrdPase 1) (EC 2.4.2.3),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q921P9,TCAL1_MOUSE,Transcription elongation factor A protein-like 1 (TCEA-like protein 1) (Transcription elongation factor S-II protein-like 1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8K2A1,GULP1_MOUSE,PTB domain-containing engulfment adapter protein 1 (Cell death protein 6 homolog) (PTB domain adapter protein CED-6) (Protein GULP),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8R2R3,AAGAB_MOUSE,Alpha- and gamma-adaptin-binding protein p34,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9R0U0,SRS10_MOUSE,"Serine/arginine-rich splicing factor 10 (FUS-interacting serine-arginine-rich protein 1) (Neural-salient serine/arginine-rich protein) (Neural-specific SR protein) (Splicing factor, arginine/serine-rich 13A) (TLS-associated protein with Ser-Arg repeats) (TASR) (TLS-associated protein with SR repeats) (TLS-associated serine-arginine protein) (TLS-associated SR protein)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q09LZ8,CBPC6_MOUSE,Cytosolic carboxypeptidase 6 (EC 3.4.17.-) (ATP/GTP-binding protein-like 4),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Thalamus', 'Medulla']",[],[],[]
Q8BZX4,SREK1_MOUSE,"Splicing regulatory glutamine/lysine-rich protein 1 (Serine/arginine-rich-splicing regulatory protein 86) (SRrp86) (Splicing factor, arginine/serine-rich 12)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9CQH8,RPP14_MOUSE,Ribonuclease P protein subunit p14 (EC 3.1.26.5),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q5DTM8,BRE1A_MOUSE,E3 ubiquitin-protein ligase BRE1A (BRE1-A) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q7TMV3,FAKD5_MOUSE,"FAST kinase domain-containing protein 5, mitochondrial",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9D2C2,SAAL1_MOUSE,Protein SAAL1 (Synoviocyte proliferation-associated in collagen-induced arthritis protein 1) (SPACIA1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8BHA3,DTD2_MOUSE,D-aminoacyl-tRNA deacylase 2 (EC 3.1.1.96) (Animalia-specific tRNA deacylase) (ATD) (D-tyrosyl-tRNA deacylase 2) (L-alanyl-tRNA deacylase),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
O35207,CDKA1_MOUSE,Cyclin-dependent kinase 2-associated protein 1 (CDK2-associated protein 1) (Deleted in oral cancer 1) (DOC-1) (Putative oral cancer suppressor),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q8R2U6,NUDT4_MOUSE,"Diphosphoinositol polyphosphate phosphohydrolase 2 (DIPP-2) (EC 3.6.1.52) (Diadenosine 5',5'''-P1,P6-hexaphosphate hydrolase 2) (EC 3.6.1.-) (Nucleoside diphosphate-linked moiety X motif 4) (Nudix motif 4)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
O88668,CREG1_MOUSE,Protein CREG1 (Cellular repressor of E1A-stimulated genes 1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Thalamus']",[],[],[]
Q8BP56,PGGHG_MOUSE,Protein-glucosylgalactosylhydroxylysine glucosidase (EC 3.2.1.107) (Acid trehalase-like protein 1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q811S7,UBIP1_MOUSE,Upstream-binding protein 1 (Nuclear factor 2d9) (NF2d9),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8BXN7,PPM1K_MOUSE,"Protein phosphatase 1K, mitochondrial (EC 3.1.3.16) (Protein phosphatase 2C isoform kappa) (PP2C-kappa)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q6PCP5,MFF_MOUSE,Mitochondrial fission factor,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus']",[],[],[]
Q9CQ49,NCBP2_MOUSE,Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (NCBP 20 kDa subunit) (CBP20),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q9WUD8,FAIM1_MOUSE,Fas apoptotic inhibitory molecule 1,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P70349,HINT1_MOUSE,Histidine triad nucleotide-binding protein 1 (EC 3.-.-.-) (Adenosine 5'-monophosphoramidase) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8K2Z2,PRP39_MOUSE,Pre-mRNA-processing factor 39 (PRP39 homolog),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q61160,FADD_MOUSE,FAS-associated death domain protein (FAS-associating death domain-containing protein) (Mediator of receptor induced toxicity) (Protein FADD),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P55264,ADK_MOUSE,Adenosine kinase (AK) (EC 2.7.1.20) (Adenosine 5'-phosphotransferase),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q99JF8,PSIP1_MOUSE,PC4 and SFRS1-interacting protein (Lens epithelium-derived growth factor) (mLEDGF),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9CZD5,IF3M_MOUSE,"Translation initiation factor IF-3, mitochondrial (IF-3(Mt)) (IF-3Mt) (IF3(mt)) (IF3mt)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P40338,VHL_MOUSE,von Hippel-Lindau disease tumor suppressor (pVHL),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
P63002,TLE5_MOUSE,TLE family member 5 (Amino-terminal enhancer of split) (Amino enhancer of split) (Grg-5) (Groucho-related protein 5) (Protein ESP1) (Protein GRG),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
P70700,RPA2_MOUSE,DNA-directed RNA polymerase I subunit RPA2 (RNA polymerase I subunit 2) (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (RPA135),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q62193,RFA2_MOUSE,Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q9CRB0,SNX24_MOUSE,Sorting nexin-24,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q80U58,PUM2_MOUSE,Pumilio homolog 2,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P00848,ATP6_MOUSE,ATP synthase subunit a (F-ATPase protein 6),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8K0P3,MEAK7_MOUSE,MTOR-associated protein MEAK7 (MEAK7) (TBC/LysM-associated domain-containing protein 1) (TLD domain-containing protein 1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9EQS3,MYCBP_MOUSE,c-Myc-binding protein (Associate of Myc 1) (AMY-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q91VR8,BRK1_MOUSE,Protein BRICK1 (BRK1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q78YZ6,SCOC_MOUSE,Short coiled-coil protein,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q91ZW2,OFUT1_MOUSE,GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q569Z6,TR150_MOUSE,Thyroid hormone receptor-associated protein 3 (Thyroid hormone receptor-associated protein complex 150 kDa component) (Trap150),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9R078,AAKB1_MOUSE,5'-AMP-activated protein kinase subunit beta-1 (AMPK subunit beta-1) (AMPKb),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P06684,CO5_MOUSE,Complement C5 (Hemolytic complement) [Cleaved into: Complement C5 beta chain Complement C5 alpha chain C5a anaphylatoxin Complement C5 alpha' chain],Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Thalamus']",[],[],[]
O35691,PININ_MOUSE,Pinin,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q1LZI2,S35F3_MOUSE,Putative thiamine transporter SLC35F3 (Solute carrier family 35 member F3),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Thalamus', 'Cerebellum']",[],[],[]
P09813,APOA2_MOUSE,Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II)],Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q9D958,SPCS1_MOUSE,Signal peptidase complex subunit 1 (EC 3.4.-.-) (Microsomal signal peptidase 12 kDa subunit) (SPase 12 kDa subunit),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
P63147,UBE2B_MOUSE,Ubiquitin-conjugating enzyme E2 B (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme B) (E214K) (RAD6 homolog B) (HR6B) (mHR6B) (Ubiquitin carrier protein B) (Ubiquitin-protein ligase B),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P03888,NU1M_MOUSE,NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8BVF2,PDCL3_MOUSE,Phosducin-like protein 3 (Viral IAP-associated factor 1) (VIAF-1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9CQN6,TM14C_MOUSE,Transmembrane protein 14C,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P46414,CDN1B_MOUSE,Cyclin-dependent kinase inhibitor 1B (Cyclin-dependent kinase inhibitor p27) (p27Kip1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q80UY2,KCMF1_MOUSE,E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (Differentially expressed in branching tubulogenesis 91) (Debt-91) (RING-type E3 ubiquitin transferase KCMF1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P62737,ACTA_MOUSE,"Actin, aortic smooth muscle (Alpha-actin-2) [Cleaved into: Actin, aortic smooth muscle, intermediate form]",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
P63268,ACTH_MOUSE,"Actin, gamma-enteric smooth muscle (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
Q8K019,BCLF1_MOUSE,Bcl-2-associated transcription factor 1 (Btf),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q6PFR5,TRA2A_MOUSE,Transformer-2 protein homolog alpha (TRA-2 alpha) (TRA2-alpha) (Transformer-2 protein homolog A),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q63918,CAVN2_MOUSE,Caveolae-associated protein 2 (Cavin-2) (Phosphatidylserine-binding protein) (Serum deprivation-response protein),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9D2P4,URM1_MOUSE,Ubiquitin-related modifier 1,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P32261,ANT3_MOUSE,Antithrombin-III (ATIII) (Serpin C1),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
G5E8K5,ANK3_MOUSE,Ankyrin-3 (ANK-3) (Ankyrin-G),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q3UMU9,HDGR2_MOUSE,Hepatoma-derived growth factor-related protein 2 (HRP-2),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P62996,TRA2B_MOUSE,"Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (Silica-induced gene 41 protein) (SIG-41) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
P08207,S10AA_MOUSE,Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (S100 calcium-binding protein A10) (p10 protein) (p11),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum', 'Medulla']",[],[],[]
P14069,S10A6_MOUSE,Protein S100-A6 (5B10) (Calcyclin) (Prolactin receptor-associated protein) (S100 calcium-binding protein A6),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P11930,NUD19_MOUSE,Nucleoside diphosphate-linked moiety X motif 19 (Nudix motif 19) (EC 3.6.1.-) (Androgen-regulated protein RP2) (Testosterone-regulated RP2 protein) (RP2p),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q923B0,GGACT_MOUSE,Gamma-glutamylaminecyclotransferase (GGACT) (EC 4.3.2.8) (AIG2-like domain-containing protein 1) (Gamma-glutamylamine cyclotransferase),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q8BMJ3,IF1AX_MOUSE,"Eukaryotic translation initiation factor 1A, X-chromosomal (eIF-1A X isoform) (Eukaryotic translation initiation factor 4C) (eIF-4C)",Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P09240,CCKN_MOUSE,Cholecystokinin (CCK) [Cleaved into: Cholecystokinin-33 (CCK33) Cholecystokinin-12 (CCK12) Cholecystokinin-8 (CCK8)],Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Hippocampus']",[],[],[]
P62482,KCAB2_MOUSE,Voltage-gated potassium channel subunit beta-2 (EC 1.1.1.-) (K(+) channel subunit beta-2) (Kv-beta-2) (Neuroimmune protein F5),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Medulla']",[],[],[]
Q505D7,OPA3_MOUSE,Optic atrophy 3 protein homolog,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9JIX0,ENY2_MOUSE,Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
Q9R001,ATS5_MOUSE,A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5) (EC 3.4.24.-) (ADMP-2) (Aggrecanase-2) (Implantin),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P57776,EF1D_MOUSE,Elongation factor 1-delta (EF-1-delta),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q9CQP2,TPPC2_MOUSE,Trafficking protein particle complex subunit 2 (Sedlin),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
B1AXP6,TOM5_MOUSE,Mitochondrial import receptor subunit TOM5 homolog,Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex']",[],[],[]
P05622,PGFRB_MOUSE,Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
O54828,RGS9_MOUSE,Regulator of G-protein signaling 9 (RGS9),Mus musculus (Mouse),['Cortex'],[],[],[]
A2ARS0,ANR63_MOUSE,Ankyrin repeat domain-containing protein 63,Mus musculus (Mouse),"['Cortex', 'Cerebellum']",[],[],[]
P54830,PTN5_MOUSE,Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Neural-specific protein-tyrosine phosphatase) (Striatum-enriched protein-tyrosine phosphatase) (STEP),Mus musculus (Mouse),"['Olfactory Bulb', 'Cortex', 'Cerebellum']",[],[],[]
Q9QUG9,GRP2_MOUSE,RAS guanyl-releasing protein 2 (Calcium and DAG-regulated guanine nucleotide exchange factor I) (CalDAG-GEFI) (F25B3.3 kinase-like protein),Mus musculus (Mouse),"['Cortex', 'Medulla']",[],[],[]
Q8BRU6,VMAT2_MOUSE,Synaptic vesicular amine transporter (Monoamine transporter) (Solute carrier family 18 member 2) (Vesicular amine transporter 2) (VAT2),Mus musculus (Mouse),['Cortex'],[],[],[]
