Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name
E9PWP6,E9PWP6_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Zinc-finger {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-, Metal-binding {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-, ProRule:PRU00091}, Exocytosis {ECO:0000256|ARBA:ARBA00022483}, Proteomics identification {ECO:0000213|MaxQB:E9PWP6,, ECO:0000213|PeptideAtlas:E9PWP6}, Cell junction {ECO:0000256|ARBA:ARBA00023018}, Synapse {ECO:0000256|ARBA:ARBA00023018}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Zinc {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-ProRule:PRU00091}","membrane IEA, presynaptic active zone IEA","GO:0016020, GO:0048786","metal ion binding IEA, Rab GTPase binding IEA","GO:0017137, GO:0046872","exocytosis IEA, intracellular protein transport IEA","GO:0006886, GO:0006887",
E9PWX1,E9PWX1_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|SAM:Phobius}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|SAM:Phobius}, ECO:0000213|PeptideAtlas:E9PWX1}, Proteomics identification {ECO:0000213|MaxQB:E9PWX1,",voltage-gated potassium channel complex IEA,GO:0008076,"potassium channel regulator activity IEA, serine-type peptidase activity IEA","GO:0015459, GO:0008236",regulation of potassium ion transmembrane transport IEA,GO:1901379,
E9PX29,E9PX29_MOUSE,Mus musculus (Mouse),"ECO:0000256|PIRNR:PIRNR002297}, Actin-binding {ECO:0000256|ARBA:ARBA00023203,, Proteomics identification {ECO:0000213|MaxQB:E9PX29,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Cytoskeleton {ECO:0000256|PIRNR:PIRNR002297},  Coiled coil {ECO:0000256|SAM:Coils}, ECO:0000213|PeptideAtlas:E9PX29}, 3D-structure {ECO:0000213|PDB:6M3Q, ECO:0000213|PDB:6M3R}, Actin capping {ECO:0000256|ARBA:ARBA00022467,, Cytoplasm {ECO:0000256|PIRNR:PIRNR002297}","cell body fiber IDA, axon hillock IDA, membrane ISO, cytoplasm ISO, nuclear matrix ISO, axon initial segment IDA, intercalated disc IDA, axon IDA, paranode region of axon IDA, node of Ranvier ISO, PML body ISO, neuronal cell body IDA, spectrin ISO","GO:0005737, GO:0043025, GO:0016020, GO:0008091, GO:0033268, GO:0016363, GO:0070852, GO:0014704, GO:0033270, GO:0016605, GO:0030424, GO:0043203, GO:0043194","spectrin binding IDA, actin binding IDA, phosphatase binding ISO, structural constituent of cytoskeleton IEA, phospholipid binding IEA, ankyrin binding ISO","GO:0005543, GO:0030507, GO:0019902, GO:0005200, GO:0003779, GO:0030506","positive regulation of multicellular organism growth IMP, actin filament capping IEA, fertilization IMP, regulation of peptidyl-serine phosphorylation IDA, cellular protein localization IMP, clustering of voltage-gated sodium channels IMP, sensory perception of sound IMP, reproductive process IMP, central nervous system projection neuron axonogenesis IMP, regulation of sodium ion transport IMP, cardiac conduction IMP, negative regulation of heart rate IMP, adult walking behavior IMP, axonogenesis IMP, adult behavior IMP, transmission of nerve impulse IMP","GO:0030534, GO:0021952, GO:0045162, GO:0010459, GO:0033135, GO:0007605, GO:0019226, GO:0040018, GO:0061337, GO:0002028, GO:0034613, GO:0007409, GO:0022414, GO:0007628, GO:0051693, GO:0009566",Spectrin beta chain {ECO:0000256|PIRNR:PIRNR002297}
E9PX34,E9PX34_MOUSE,Mus musculus (Mouse),"Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Transducer {ECO:0000256|ARBA:ARBA00023040}, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040}, Signal {ECO:0000256|ARBA:ARBA00022729, ECO:0000256|SAM:SignalP},  Receptor {ECO:0000256|ARBA:ARBA00023040}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Glycoprotein {ECO:0000256|ARBA:ARBA00023180}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000256|SAM:Phobius}",integral component of plasma membrane IBA,GO:0005887,"G protein-coupled receptor activity IBA, G protein-coupled olfactory receptor activity IGI, signaling receptor activity IBA","GO:0004930, GO:0038022, GO:0038023",neuron differentiation IGI,GO:0030182,
E9PX64,E9PX64_MOUSE,Mus musculus (Mouse),"ProRule:PRU00283}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-, Reference proteome {ECO:0000313|Proteomes:UP000000589},  Motor protein {ECO:0000256|PROSITE-ProRule:PRU00283},  Proteomics identification {ECO:0000213|MaxQB:E9PX64}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-",,,"microtubule binding IEA, microtubule motor activity IEA, ATP binding IEA","GO:0008017, GO:0005524, GO:0003777",microtubule-based movement IEA,GO:0007018,
E9PXB0,E9PXB0_MOUSE,Mus musculus (Mouse),"Lipid degradation {ECO:0000256|PROSITE-ProRule:PRU01161}, ECO:0000213|MaxQB:E9PXB0, ECO:0000213|PeptideAtlas:E9PXB0}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:E9PXB0,, Hydrolase {ECO:0000256|PROSITE-ProRule:PRU01161}, Lipid metabolism {ECO:0000256|PROSITE-ProRule:PRU01161}",,,hydrolase activity IEA,GO:0016787,lipid catabolic process IEA,GO:0016042,
E9PXB9,E9PXB9_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:E9PXB9,, ECO:0000213|MaxQB:E9PXB9, ECO:0000213|PeptideAtlas:E9PXB9}",,,,,,,
E9PXG9,E9PXG9_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Proteomics identification {ECO:0000213|EPD:E9PXG9,, Endosome {ECO:0000256|ARBA:ARBA00022753}, Membrane {ECO:0000256|ARBA:ARBA00023136}, ECO:0000213|MaxQB:E9PXG9, ECO:0000213|PeptideAtlas:E9PXG9}, Golgi apparatus {ECO:0000256|ARBA:ARBA00023034}, Reference proteome {ECO:0000313|Proteomes:UP000000589}","GARP complex IEA, endosome membrane IEA, cytosol IEA","GO:0010008, GO:0000938, GO:0005829",,,"retrograde transport, endosome to Golgi IEA",GO:0042147,Vacuolar protein sorting-associated protein 53 homolog {ECO:0000256|ARBA:ARBA00014103}
E9PXV3,E9PXV3_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:E9PXV3,, ECO:0000213|MaxQB:E9PXV3, ECO:0000213|PeptideAtlas:E9PXV3}",,,"calmodulin-dependent protein kinase activity IEA, calmodulin binding IEA","GO:0005516, GO:0004683",,,
E9PY26,E9PY26_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:E9PY26, ECO:0000213|PeptideAtlas:E9PY26}, Proteomics identification {ECO:0000213|EPD:E9PY26,, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,cysteine-type peptidase activity IEA,GO:0008234,,,
E9PY51,E9PY51_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:E9PY51,, ECO:0000213|MaxQB:E9PY51, ECO:0000213|PeptideAtlas:E9PY51}","TRAPP complex ISO, TRAPPIII protein complex IBA, cytoplasmic vesicle IBA, phagophore assembly site IBA","GO:0031410, GO:1990072, GO:0000407, GO:0030008",,,"autophagosome assembly IBA, endoplasmic reticulum to Golgi vesicle-mediated transport IBA, autophagy of peroxisome IBA, protein localization to phagophore assembly site IBA, Golgi organization ISO","GO:0034497, GO:0007030, GO:0006888, GO:0030242, GO:0000045",
E9PYF1,E9PYF1_MOUSE,Mus musculus (Mouse),"Hydrolase {ECO:0000256|ARBA:ARBA00023049}, Metal-binding {ECO:0000256|ARBA:ARBA00022723}, Proteomics identification {ECO:0000213|EPD:E9PYF1,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Protease {ECO:0000256|ARBA:ARBA00023049}, Metalloprotease {ECO:0000256|ARBA:ARBA00023049}, ECO:0000213|MaxQB:E9PYF1, ECO:0000213|PeptideAtlas:E9PYF1}, Zinc {ECO:0000256|ARBA:ARBA00022833}",extracellular space IEA,GO:0005615,"metallopeptidase activity IEA, aminopeptidase activity IEA, zinc ion binding IEA","GO:0008270, GO:0008237, GO:0004177",,,
E9PYH6,SET1A_MOUSE,Mus musculus (Mouse),"Phosphoprotein, Transcription,  Reference proteome,  Methyltransferase,  RNA-binding,  Transcription regulation,  Chromatin regulator,  Chromosome, Activator,  S-adenosyl-L-methionine,  Nucleus,  Transferase","nuclear euchromatin IDA, nuclear chromatin ISO, nucleus IDA, nuclear speck ISO, histone methyltransferase complex ISO, Set1C/COMPASS complex ISO","GO:0005719, GO:0000790, GO:0016607, GO:0005634, GO:0048188, GO:0035097","euchromatin binding IDA, beta-catenin binding ISO, transcription factor binding ISO, RNA binding IEA, histone methyltransferase activity (H3-K4 specific) ISO","GO:0008134, GO:0008013, GO:0003723, GO:1990188, GO:0042800","stem cell population maintenance IMP, histone H3-K4 monomethylation ISO, regulation of chromatin organization IDA, histone H3-K4 trimethylation ISO, chromatin-mediated maintenance of transcription NAS, positive regulation of neural precursor cell proliferation IMP, regulation of hematopoietic stem cell differentiation ISO, positive regulation of gene expression IMP, regulation of erythrocyte differentiation IMP, histone H3-K4 dimethylation ISO, positive regulation of stem cell proliferation IMP, histone H3-K4 methylation IMP","GO:0048096, GO:0010628, GO:0019827, GO:2000648, GO:0045646, GO:1902275, GO:0044648, GO:1902036, GO:0097692, GO:2000179, GO:0051568, GO:0080182",Histone-lysine N-methyltransferase SETD1A
E9PYI8,E9PYI8_MOUSE,Mus musculus (Mouse),"Ubl conjugation pathway {ECO:0000256|ARBA:ARBA00022786,, Coiled coil {ECO:0000256|SAM:Coils}, Hydrolase {ECO:0000256|ARBA:ARBA00022807, ECO:0000256|RuleBase:RU366025}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteasome {ECO:0000256|ARBA:ARBA00022942}, Protease {ECO:0000256|ARBA:ARBA00022807, ECO:0000256|RuleBase:RU366025}, ECO:0000213|MaxQB:E9PYI8, ECO:0000213|PeptideAtlas:E9PYI8}, Thiol protease {ECO:0000256|ARBA:ARBA00022807,, ECO:0000256|RuleBase:RU366025}, Proteomics identification {ECO:0000213|EPD:E9PYI8,",proteasome complex IEA,GO:0000502,"thiol-dependent ubiquitin-specific protease activity IEA, cysteine-type peptidase activity IEA","GO:0008234, GO:0004843","ubiquitin-dependent protein catabolic process IEA, protein deubiquitination IEA","GO:0016579, GO:0006511",Ubiquitin carboxyl-terminal hydrolase {ECO:0000256|RuleBase:RU366025}
E9PYT3,E9PYT3_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:E9PYT3,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|SAM:Phobius}, ECO:0000213|MaxQB:E9PYT3, ECO:0000213|PeptideAtlas:E9PYT3}",integral component of membrane IEA,GO:0016021,"GTPase activity IEA, GTP binding IEA","GO:0005525, GO:0003924",,,
E9PZI9,E9PZI9_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:E9PZI9,, ECO:0000213|MaxQB:E9PZI9, ECO:0000213|PeptideAtlas:E9PZI9}",,,,,"negative regulation of macrophage activation IEA, regulation of immune response IEA","GO:0050776, GO:0043031",
E9PZU3,E9PZU3_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:E9PZU3}, Proteomics identification {ECO:0000213|EPD:E9PZU3,",,,"GTPase activity IEA, GTP binding IEA","GO:0005525, GO:0003924",,,
E9Q0U1,E9Q0U1_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:E9Q0U1,, ECO:0000213|MaxQB:E9Q0U1, ECO:0000213|PeptideAtlas:E9Q0U1}",,,,,,,
E9Q0U7,E9Q0U7_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Proteomics identification {ECO:0000213|EPD:E9Q0U7,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:E9Q0U7, ECO:0000213|PeptideAtlas:E9Q0U7}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840}, ATP-binding {ECO:0000256|ARBA:ARBA00022840}",,,ATP binding IEA,GO:0005524,,,
E9Q171,E9Q171_MOUSE,Mus musculus (Mouse)," Signal {ECO:0000256|SAM:SignalP}, Immunoglobulin domain {ECO:0000256|ARBA:ARBA00023319}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000256|SAM:Phobius}, ECO:0000213|PeptideAtlas:E9Q171}, Proteomics identification {ECO:0000213|MaxQB:E9Q171,",integral component of membrane IEA,GO:0016021,,,"transmission of nerve impulse IEA, myelination IEA, synapse organization IEA, axon guidance IEA, peripheral nervous system development IEA","GO:0019226, GO:0050808, GO:0042552, GO:0007422, GO:0007411",
E9Q1J7,E9Q1J7_MOUSE,Mus musculus (Mouse),"Ligase {ECO:0000256|ARBA:ARBA00022598}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:E9Q1J7,, ECO:0000213|MaxQB:E9Q1J7, ECO:0000213|PeptideAtlas:E9Q1J7}",,,ligase activity IEA,GO:0016874,,,
E9Q1V6,E9Q1V6_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|MaxQB:E9Q1V6,, ECO:0000213|PeptideAtlas:E9Q1V6}, Reference proteome {ECO:0000313|Proteomes:UP000000589}",,,,,,,
E9Q221,E9Q221_MOUSE,Mus musculus (Mouse)," Transport {ECO:0000256|ARBA:ARBA00022448}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:E9Q221,, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, ECO:0000213|MaxQB:E9Q221, ECO:0000213|PeptideAtlas:E9Q221}, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000256|SAM:Phobius}",integral component of plasma membrane IEA,GO:0005887,nucleoside transmembrane transporter activity IEA,GO:0005337,,,
E9Q226,E9Q226_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Cyclin {ECO:0000256|RuleBase:RU000383}, ECO:0000213|PeptideAtlas:E9Q226}, Proteomics identification {ECO:0000213|MaxQB:E9Q226,","membrane IDA, plasma membrane IDA, cytoplasm IBA","GO:0005737, GO:0016020, GO:0005886","protein kinase binding IEA, cyclin-dependent protein serine/threonine kinase regulator activity IBA","GO:0019901, GO:0016538","flagellated sperm motility IMP, regulation of protein phosphorylation IDA, spermatogenesis IMP, regulation of protein kinase activity IDA, positive regulation of cyclin-dependent protein serine/threonine kinase activity IBA","GO:0030317, GO:0045737, GO:0001932, GO:0045859, GO:0007283",
E9Q242,E9Q242_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, ECO:0000256|RuleBase:RU361172}, Purine biosynthesis {ECO:0000256|ARBA:ARBA00022755,, Reference proteome {ECO:0000313|Proteomes:UP000000589},  Lyase {ECO:0000256|RuleBase:RU361172}, ECO:0000213|MaxQB:E9Q242, ECO:0000213|PeptideAtlas:E9Q242}, Proteomics identification {ECO:0000213|EPD:E9Q242,",,,"(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity IEA, N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity IEA","GO:0070626, GO:0004018","'de novo' IMP biosynthetic process IEA, 'de novo' AMP biosynthetic process IEA","GO:0044208, GO:0006189",Adenylosuccinate lyase {ECO:0000256|RuleBase:RU361172}
E9Q2Q7,E9Q2Q7_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:E9Q2Q7,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, ECO:0000213|MaxQB:E9Q2Q7, ECO:0000213|PeptideAtlas:E9Q2Q7},  Signal {ECO:0000256|SAM:SignalP}",extracellular region IEA,GO:0005576,,,,,
E9Q310,E9Q310_MOUSE,Mus musculus (Mouse),"Transcription {ECO:0000256|ARBA:ARBA00023015}, Zinc-finger {ECO:0000256|ARBA:ARBA00022771}, DNA-binding {ECO:0000256|ARBA:ARBA00023125}, Mitochondrion {ECO:0000256|ARBA:ARBA00023128}, ECO:0000213|MaxQB:E9Q310, ECO:0000213|PeptideAtlas:E9Q310}, Cytoskeleton {ECO:0000256|ARBA:ARBA00023212}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Zinc {ECO:0000256|ARBA:ARBA00022771}, Chromatin regulator {ECO:0000256|ARBA:ARBA00022853}, Nucleus {ECO:0000256|ARBA:ARBA00023242}, Cytoplasm {ECO:0000256|ARBA:ARBA00023212}, Receptor {ECO:0000256|ARBA:ARBA00023170}, Proteomics identification {ECO:0000213|EPD:E9Q310,, Lipid-binding {ECO:0000256|ARBA:ARBA00022665}, Metal-binding {ECO:0000256|ARBA:ARBA00022771}, Transcription regulation {ECO:0000256|ARBA:ARBA00023015}, Steroid-binding {ECO:0000256|ARBA:ARBA00022665}","mitochondrion IEA, spindle IEA, nucleus IEA","GO:0005819, GO:0005634, GO:0005739","zinc ion binding IEA, DNA-binding transcription factor activity IEA, sequence-specific DNA binding IEA, glucocorticoid receptor activity IEA, steroid binding IEA","GO:0043565, GO:0003700, GO:0008270, GO:0004883, GO:0005496",chromatin organization IEA,GO:0006325,Glucocorticoid receptor {ECO:0000256|ARBA:ARBA00015625}
E9Q3L1,E9Q3L1_MOUSE,Mus musculus (Mouse),"Protein transport {ECO:0000256|ARBA:ARBA00022927}, Actin-binding {ECO:0000256|ARBA:ARBA00023203, ECO:0000256|PROSITE-, Hearing {ECO:0000256|ARBA:ARBA00022740}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-, ECO:0000213|MaxQB:E9Q3L1, ECO:0000213|PeptideAtlas:E9Q3L1}, Cytoplasmic vesicle {ECO:0000256|ARBA:ARBA00023329}, Motor protein {ECO:0000256|ARBA:ARBA00023123, ECO:0000256|PROSITE-, Golgi apparatus {ECO:0000256|ARBA:ARBA00023034}, Coated pit {ECO:0000256|ARBA:ARBA00023176}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-, Myosin {ECO:0000256|ARBA:ARBA00023123, ECO:0000256|PROSITE-,  Nucleus {ECO:0000256|ARBA:ARBA00023242}, ProRule:PRU00782}, Cell projection {ECO:0000256|ARBA:ARBA00023273}, Transport {ECO:0000256|ARBA:ARBA00022927},  Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Endocytosis {ECO:0000256|ARBA:ARBA00022583}, Coiled coil {ECO:0000256|SAM:Coils}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|ARBA:ARBA00022475, ECO:0000256|ARBA:ARBA00023176}, Proteomics identification {ECO:0000213|EPD:E9Q3L1,","apical part of cell IEA, clathrin-coated endocytic vesicle IEA, myosin complex IEA, ruffle membrane IEA, cytosol IEA, filopodium IEA, filamentous actin IEA, RNA polymerase II, holoenzyme IEA, microvillus IEA, nuclear membrane IEA, perinuclear region of cytoplasm IEA, clathrin-coated pit IEA, Golgi apparatus IEA","GO:0005794, GO:0030175, GO:0031965, GO:0005905, GO:0045334, GO:0016459, GO:0031941, GO:0005902, GO:0045177, GO:0048471, GO:0005829, GO:0032587, GO:0016591","actin filament binding IEA, motor activity IEA, ATP binding IEA","GO:0003774, GO:0051015, GO:0005524","protein transport IEA, positive regulation of transcription by RNA polymerase II IEA, DNA damage response, signal transduction by p53 class mediator IEA, regulation of secretion IEA, sensory perception of sound IEA, response to drug IEA, endocytosis IEA","GO:0030330, GO:0007605, GO:0006897, GO:0015031, GO:0042493, GO:0051046, GO:0045944",Unconventional myosin-6 {ECO:0000256|ARBA:ARBA00018603}
E9Q3M3,E9Q3M3_MOUSE,Mus musculus (Mouse),"Mitosis {ECO:0000256|ARBA:ARBA00022776}, Cell cycle {ECO:0000256|ARBA:ARBA00022776}, Proteomics identification {ECO:0000213|EPD:E9Q3M3,, Cell division {ECO:0000256|ARBA:ARBA00022776}, Cytoskeleton {ECO:0000256|ARBA:ARBA00023212}, Dynein {ECO:0000256|ARBA:ARBA00023017}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Cytoplasm {ECO:0000256|ARBA:ARBA00023212}, Coiled coil {ECO:0000256|ARBA:ARBA00023054, ECO:0000256|SAM:Coils}, ECO:0000213|MaxQB:E9Q3M3, ECO:0000213|PeptideAtlas:E9Q3M3}","dynein complex IEA, centriole IEA, centrosome IEA","GO:0005813, GO:0005814, GO:0030286","microtubule binding IEA, motor activity IEA","GO:0003774, GO:0008017","establishment of mitotic spindle orientation IEA, cell division IEA, transport along microtubule IEA","GO:0000132, GO:0051301, GO:0010970",Dynactin subunit 1 {ECO:0000256|ARBA:ARBA00016574}
E9Q3V0,E9Q3V0_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, ECO:0000213|MaxQB:E9Q3V0, ECO:0000213|PeptideAtlas:E9Q3V0}, Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Amino-acid transport {ECO:0000256|ARBA:ARBA00022970}, Proteomics identification {ECO:0000213|EPD:E9Q3V0,, Neurotransmitter transport {ECO:0000256|ARBA:ARBA00022775}, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, ECO:0000256|SAM:Phobius}, Transport {ECO:0000256|ARBA:ARBA00022775, ECO:0000256|ARBA:ARBA00022847,, ECO:0000256|ARBA:ARBA00022970}, Symport {ECO:0000256|ARBA:ARBA00022847}",integral component of plasma membrane IEA,GO:0005887,amino acid,GO:0005283,neurotransmitter transport IEA,GO:0006836,Sodium- and chloride-dependent glycine transporter 1 {ECO:0000256|ARBA:ARBA00022312}
E9Q3V6,E9Q3V6_MOUSE,Mus musculus (Mouse),"Cell membrane {ECO:0000256|ARBA:ARBA00022475}, Coiled coil {ECO:0000256|SAM:Coils}, ECO:0000256|RuleBase:RU004560}, Nucleotide-binding {ECO:0000256|PIRSR:PIRSR006698-2,, Cell cycle {ECO:0000256|ARBA:ARBA00023306},  Membrane {ECO:0000256|ARBA:ARBA00022475}, Cytoskeleton {ECO:0000256|ARBA:ARBA00023212}, GTP-binding {ECO:0000256|PIRSR:PIRSR006698-2,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Cytoplasm {ECO:0000256|ARBA:ARBA00023212}, Cell projection {ECO:0000256|ARBA:ARBA00023273}, ECO:0000213|MaxQB:E9Q3V6, ECO:0000213|PeptideAtlas:E9Q3V6}, Proteomics identification {ECO:0000213|EPD:E9Q3V6,","cleavage furrow IEA, midbody IEA, ciliary membrane IEA, spindle IEA, motile cilium IEA","GO:0005819, GO:0030496, GO:0060170, GO:0032154, GO:0031514",GTP binding IEA,GO:0005525,cell division IEA,GO:0051301,Septin-2 {ECO:0000256|ARBA:ARBA00018919}
E9Q3W4,E9Q3W4_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:E9Q3W4, ECO:0000213|PeptideAtlas:E9Q3W4}, Coiled coil {ECO:0000256|SAM:Coils}, SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, ProRule:PRU00192}, Cytoskeleton {ECO:0000256|ARBA:ARBA00023212}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Cytoplasm {ECO:0000256|ARBA:ARBA00023212}, Proteomics identification {ECO:0000213|EPD:E9Q3W4,","cytoskeleton IEA, cytoplasm IEA","GO:0005737, GO:0005856",cytoskeletal protein binding IEA,GO:0008092,intermediate filament cytoskeleton organization IEA,GO:0045104,
E9Q453,E9Q453_MOUSE,Mus musculus (Mouse),"Muscle protein {ECO:0000256|ARBA:ARBA00023179}, Actin-binding {ECO:0000256|ARBA:ARBA00023203}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:E9Q453, ECO:0000213|PeptideAtlas:E9Q453}, Proteomics identification {ECO:0000213|EPD:E9Q453,",cytoskeleton IEA,GO:0005856,actin binding IEA,GO:0003779,,,
E9Q4G8,E9Q4G8_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:E9Q4G8, ECO:0000213|PeptideAtlas:E9Q4G8}, Transmembrane helix {ECO:0000256|SAM:Phobius}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|SAM:Phobius}, Cell projection {ECO:0000256|ARBA:ARBA00023273}, Proteomics identification {ECO:0000213|EPD:E9Q4G8,, Signal {ECO:0000256|SAM:SignalP},  Transmembrane {ECO:0000256|SAM:Phobius}","plasma membrane IEA, integral component of membrane IEA, axon IEA, dendrite IEA","GO:0030424, GO:0016021, GO:0030425, GO:0005886",,,,,Activated leukocyte cell adhesion molecule {ECO:0000256|ARBA:ARBA00019672}
E9Q4T3,E9Q4T3_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Membrane {ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|SAM:Phobius}",integral component of membrane IEA,GO:0016021,,,,,
E9Q4T8,E9Q4T8_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:E9Q4T8, ECO:0000213|PeptideAtlas:E9Q4T8}, Isopeptide bond {ECO:0000256|ARBA:ARBA00022499}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Ubl conjugation pathway {ECO:0000256|ARBA:ARBA00022786}, Ubl conjugation {ECO:0000256|ARBA:ARBA00022843}, Proteomics identification {ECO:0000213|EPD:E9Q4T8,",cullin-RING ubiquitin ligase complex IEA,GO:0031461,ubiquitin protein ligase binding IEA,GO:0031625,"ubiquitin-dependent protein catabolic process IEA, protein ubiquitination IEA","GO:0016567, GO:0006511",
