,Uniprot Entry,Accession Name,Organism,Keywords,GO Cellular Components,GO ID CC,GO Molecular Function,GO ID MF,GO Biological Process,GO ID BP,Name,Biological Process Label,Molecular Function Label,Cellular Component Label
120,B2RWZ2,B2RWZ2_MOUSE,Mus musculus (Mouse),"Myosin {ECO:0000256|ARBA:ARBA00023123, ECO:0000256|PROSITE-, Actin-binding {ECO:0000256|ARBA:ARBA00023203, ECO:0000256|PROSITE-, ProRule:PRU00782}, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-, Motor protein {ECO:0000256|ARBA:ARBA00023123, ECO:0000256|PROSITE-, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|PROSITE-",myosin complex IEA,GO:0016459,"actin binding IEA, motor activity IEA, ATP binding IEA","GO:0005524, GO:0003774, GO:0003779",,,,,"GO:0005488, GO:0003824",
121,B2RXC1,TPC11_MOUSE,Mus musculus (Mouse)," Alternative splicing, Acetylation, Reference proteome,  Golgi apparatus,  Transport,  ER-Golgi transport","TRAPP complex ISO, Golgi apparatus ISO","GO:0005794, GO:0030008",,,"endoplasmic reticulum to Golgi vesicle-mediated transport ISO, Golgi organization ISO, constitutive secretory pathway ISO, regulation of protein complex stability ISO","GO:0045054, GO:0007030, GO:0061635, GO:0006888",Trafficking protein particle complex subunit 11,"GO:0051179, GO:0065007, GO:0009987",,"GO:0043229, GO:0140535, GO:0099023, GO:0043227"
122,B2RXT3,B2RXT3_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:B2RXT3,, Transit peptide {ECO:0000256|ARBA:ARBA00022946}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:B2RXT3, ECO:0000213|PeptideAtlas:B2RXT3}, Oxidoreductase {ECO:0000256|ARBA:ARBA00023002}, Coiled coil {ECO:0000256|SAM:Coils}, Thiamine pyrophosphate {ECO:0000256|ARBA:ARBA00023052}","oxoglutarate dehydrogenase complex IBA, mitochondrion IBA","GO:0005739, GO:0045252","thiamine pyrophosphate binding IEA, oxoglutarate dehydrogenase (succinyl-transferring) activity IBA","GO:0004591, GO:0030976",tricarboxylic acid cycle IBA,GO:0006099,,GO:0008152,"GO:0005488, GO:0003824","GO:0043229, GO:0045239, GO:1902494, GO:0043227"
123,B2RY15,B2RY15_MOUSE,Mus musculus (Mouse),"Coiled coil {ECO:0000256|SAM:Coils}, Membrane {ECO:0000256|ARBA:ARBA00023136}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}","membrane IEA, cytoskeleton IEA, focal adhesion IEA, cytoplasm IEA, ruffle IEA","GO:0001726, GO:0005856, GO:0005737, GO:0016020, GO:0005925","actin filament binding IEA, structural constituent of cytoskeleton IEA","GO:0051015, GO:0005200",cell adhesion IEA,GO:0007155,,"GO:0009987, GO:0022610","GO:0005488, GO:0005198","GO:0042995, GO:0043228, GO:0030054, GO:0043229"
124,B2RY22,B2RY22_MOUSE,Mus musculus (Mouse),"Centromere {ECO:0000256|ARBA:ARBA00023328}, Chromosome {ECO:0000256|ARBA:ARBA00022454}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, Repeat {ECO:0000256|ARBA:ARBA00022737}, Kinetochore {ECO:0000256|ARBA:ARBA00022838}, Coiled coil {ECO:0000256|SAM:Coils}","condensed chromosome kinetochore IEA, cytoplasmic microtubule IEA, kinetochore microtubule IEA, Golgi apparatus IEA, microtubule organizing center IEA","GO:0005828, GO:0005881, GO:0005794, GO:0005815, GO:0000777","kinetochore binding IEA, microtubule plus-end binding IEA","GO:0043515, GO:0051010",,,,,GO:0005488,"GO:0043229, GO:0043227, GO:0043228, GO:0099080"
125,B2RY90,B2RY90_MOUSE,Mus musculus (Mouse),,,,,,,,,,,
126,B6ZHC8,B6ZHC8_MOUSE,Mus musculus (Mouse),"Cell division {ECO:0000256|ARBA:ARBA00022776}, Transport {ECO:0000256|ARBA:ARBA00022448}, Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, Calmodulin-binding {ECO:0000256|ARBA:ARBA00022860}, Mitosis {ECO:0000256|ARBA:ARBA00022776}, Cell cycle {ECO:0000256|ARBA:ARBA00022776}","nucleus IEA, cell cortex IEA, cytoskeleton IEA","GO:0005938, GO:0005634, GO:0005856","actin binding IEA, calmodulin binding IEA, structural molecule activity IEA","GO:0005198, GO:0005516, GO:0003779","cell cycle IEA, cell division IEA, cortical actin cytoskeleton organization IEA","GO:0007049, GO:0051301, GO:0030866",Band 4.1 {ECO:0000256|ARBA:ARBA00015603},GO:0009987,GO:0005488,"GO:0005737, GO:0043229, GO:0043228, GO:0043227"
127,B7U582,B7U582_MOUSE,Mus musculus (Mouse),"Stress response {ECO:0000313|EMBL:ACJ644991}, ECO:0000256|RuleBase:RU003322}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840,, ATP-binding {ECO:0000256|ARBA:ARBA00022840, ECO:0000256|RuleBase:RU003322}",,,ATP binding IEA,GO:0005524,"response to cold ISS, response to heat ISS","GO:0009408, GO:0009409",,GO:0050896,GO:0005488,
128,B7ZBV7,B7ZBV7_MOUSE,Mus musculus (Mouse)," Membrane {ECO:0000256|ARBA:ARBA00022989}, Ion channel {ECO:0000256|ARBA:ARBA00022826, ECO:0000256|ARBA:ARBA00022882}, Proteomics identification {ECO:0000213|EPD:B7ZBV7,, Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Ion transport {ECO:0000256|ARBA:ARBA00022826,, Potassium channel {ECO:0000256|ARBA:ARBA00022826}, Transport {ECO:0000256|ARBA:ARBA00022826, ECO:0000256|ARBA:ARBA00022882}, Potassium {ECO:0000256|ARBA:ARBA00022826}, ECO:0000256|ARBA:ARBA00022882}, Potassium transport {ECO:0000256|ARBA:ARBA00022826}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}, ECO:0000213|MaxQB:B7ZBV7}, Voltage-gated channel {ECO:0000256|ARBA:ARBA00022882}",voltage-gated potassium channel complex IEA,GO:0008076,voltage-gated potassium channel activity IEA,GO:0005249,regulation of ion transmembrane transport IEA,GO:0034765,,GO:0065007,GO:0005215,"GO:1990351, GO:0098796"
129,B7ZC23,B7ZC23_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:B7ZC23,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Coiled coil {ECO:0000256|SAM:Coils}, ECO:0000213|MaxQB:B7ZC23, ECO:0000213|PeptideAtlas:B7ZC23}",,,,,,,,,,
130,B7ZCC4,B7ZCC4_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|EPD:B7ZCC4,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|PeptideAtlas:B7ZCC4}",,,,,,,,,,
131,B7ZCM1,B7ZCM1_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:B7ZCM1,, ECO:0000213|MaxQB:B7ZCM1, ECO:0000213|PeptideAtlas:B7ZCM1}",,,,,,,,,,
132,B7ZCP7,B7ZCP7_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:B7ZCP7,, ECO:0000213|MaxQB:B7ZCP7, ECO:0000213|PeptideAtlas:B7ZCP7}",,,,,,,,,,
133,B7ZDD7,B7ZDD7_MOUSE,Mus musculus (Mouse),"Transferase {ECO:0000256|ARBA:ARBA00023315}, Proteomics identification {ECO:0000213|EPD:B7ZDD7,, Acyltransferase {ECO:0000256|ARBA:ARBA00023315}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:B7ZDD7, ECO:0000213|PeptideAtlas:B7ZDD7}",,,"transferase activity, transferring acyl groups IEA",GO:0016746,,,,,GO:0003824,
134,B7ZMW5,B7ZMW5_MOUSE,Mus musculus (Mouse),Coiled coil {ECO:0000256|SAM:Coils},,,,,,,,,,
135,B7ZN48,B7ZN48_MOUSE,Mus musculus (Mouse),"Repeat {ECO:0000256|ARBA:ARBA00022737}, ProRule:PRU00221}, Exocytosis {ECO:0000256|ARBA:ARBA00022483}, WD repeat {ECO:0000256|ARBA:ARBA00022574, ECO:0000256|PROSITE-",,,,,exocytosis IEA,GO:0006887,,"GO:0051179, GO:0009987",,
136,B7ZN63,B7ZN63_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:B7ZN63}",mitochondrial intermembrane space IEA,GO:0005758,,,,,,,,GO:0031974
137,B7ZND1,B7ZND1_MOUSE,Mus musculus (Mouse),Calcium {ECO:0000256|PROSITE-ProRule:PRU00448},,,calcium ion binding IEA,GO:0005509,mitochondrial calcium ion transmembrane transport IEA,GO:0006851,,"GO:0051179, GO:0009987",GO:0005488,
138,B7ZNJ3,B7ZNJ3_MOUSE,Mus musculus (Mouse),"Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, ProRule:PRU00192}, SH3 domain {ECO:0000256|ARBA:ARBA00022443, ECO:0000256|PROSITE-, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, Repeat {ECO:0000256|ARBA:ARBA00022737}, ANK repeat {ECO:0000256|PROSITE-ProRule:PRU00023}, Coiled coil {ECO:0000256|SAM:Coils}",,,,,,,,,,
139,B7ZNR9,B7ZNR9_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:B7ZNR9,, ATP-binding {ECO:0000256|ARBA:ARBA00022840}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840}, ECO:0000213|MaxQB:B7ZNR9, ECO:0000213|PeptideAtlas:B7ZNR9}, Coiled coil {ECO:0000256|SAM:Coils}",,,"protein kinase activity IEA, ATP binding IEA","GO:0005524, GO:0004672",,,,,"GO:0005488, GO:0003824",
140,B7ZNX2,B7ZNX2_MOUSE,Mus musculus (Mouse),"Repeat {ECO:0000256|ARBA:ARBA00022737}, Cell division {ECO:0000256|ARBA:ARBA00022776}, Cell cycle {ECO:0000256|ARBA:ARBA00022776}, Mitosis {ECO:0000256|ARBA:ARBA00022776}",anaphase-promoting complex IEA,GO:0005680,,,"cell cycle IEA, cell division IEA","GO:0007049, GO:0051301",Anaphase-promoting complex subunit 1 {ECO:0000256|ARBA:ARBA00016070},GO:0009987,,"GO:0140513, GO:0140535, GO:1902494"
141,B7ZP22,B7ZP22_MOUSE,Mus musculus (Mouse),"RNA-binding {ECO:0000256|PROSITE-ProRule:PRU00176}, Virion {ECO:0000313|EMBL:AAI455891}, mRNA transport {ECO:0000256|ARBA:ARBA00022816}, Viral nucleoprotein {ECO:0000313|EMBL:AAI455891}, Ribonucleoprotein {ECO:0000313|EMBL:AAI455891}, Nucleus {ECO:0000256|ARBA:ARBA00023242}, Spliceosome {ECO:0000256|ARBA:ARBA00022728}, mRNA processing {ECO:0000256|ARBA:ARBA00022728}, mRNA splicing {ECO:0000256|ARBA:ARBA00022728}, Transport {ECO:0000256|ARBA:ARBA00022816}","spliceosomal complex IEA, extracellular region IEA","GO:0005576, GO:0005681",RNA binding IEA,GO:0003723,"mRNA export from nucleus IEA, mRNA processing IEA","GO:0006406, GO:0006397",Heterogeneous nuclear ribonucleoproteins A2/B1 {ECO:0000256|ARBA:ARBA00020862},"GO:0051179, GO:0009987, GO:0008152",GO:0005488,"GO:0140513, GO:1990904"
142,B7ZWC0,B7ZWC0_MOUSE,Mus musculus (Mouse),Repeat {ECO:0000256|ARBA:ARBA00022737},,,,,"mast cell activation IEA, peripheral nervous system myelin maintenance IEA, regulation of cell population proliferation IEA","GO:0042127, GO:0045576, GO:0032287",N-myc downstream-regulated gene 1 protein {ECO:0000256|ARBA:ARBA00020685},"GO:0002376, GO:0065007, GO:0009987",,
143,B7ZWI2,B7ZWI2_MOUSE,Mus musculus (Mouse),,,,,,,,,,,
144,B7ZWL1,B7ZWL1_MOUSE,Mus musculus (Mouse),"Transcription regulation {ECO:0000256|ARBA:ARBA00023015}, ECO:0000213|MaxQB:B7ZWL1, ECO:0000213|PeptideAtlas:B7ZWL1}, Repressor {ECO:0000256|ARBA:ARBA00022491}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, Transcription {ECO:0000256|ARBA:ARBA00023015}, Nucleus {ECO:0000256|ARBA:ARBA00023242}, Proteomics identification {ECO:0000213|EPD:B7ZWL1,","cytoplasm IEA, nucleus IEA, CCR4-NOT core complex IEA","GO:0005634, GO:0005737, GO:0030015",,,regulation of translation IEA,GO:0006417,,GO:0065007,,"GO:0043229, GO:0043227"
145,B8JK33,B8JK33_MOUSE,Mus musculus (Mouse),"RNA-binding {ECO:0000256|PROSITE-ProRule:PRU00176}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000213|MaxQB:B8JK33, ECO:0000213|PeptideAtlas:B8JK33}, Proteomics identification {ECO:0000213|EPD:B8JK33,",,,RNA binding IEA,GO:0003723,"mRNA splicing, via spliceosome IEA",GO:0000398,,"GO:0008152, GO:0009987",GO:0005488,
146,B9EHL3,B9EHL3_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|SAM:Phobius}, Transmembrane helix {ECO:0000256|SAM:Phobius}, Transmembrane {ECO:0000256|SAM:Phobius}",integral component of membrane IEA,GO:0016021,,,,,,,,
147,B9EHZ5,B9EHZ5_MOUSE,Mus musculus (Mouse),SH3 domain {ECO:0000256|ARBA:ARBA00022443},,,,,,,,,,
148,B9EIU1,B9EIU1_MOUSE,Mus musculus (Mouse),"Ligase {ECO:0000256|ARBA:ARBA00023146, ECO:0000313|EMBL:AAI410501},  ATP-binding {ECO:0000256|ARBA:ARBA00022840}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00022840}, Protein biosynthesis {ECO:0000256|ARBA:ARBA00022917}, ECO:0000313|EMBL:AAI410501}, Coiled coil {ECO:0000256|SAM:Coils}, Aminoacyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00023146,",cytoplasm IEA,GO:0005737,"glutamate-tRNA ligase activity IEA, proline-tRNA ligase activity IEA, ATP binding IEA","GO:0004827, GO:0005524, GO:0004818","prolyl-tRNA aminoacylation IEA, glutamyl-tRNA aminoacylation IEA","GO:0006424, GO:0006433",Glutamyl-tRNA synthetase {ECO:0000256|ARBA:ARBA00017458},"GO:0008152, GO:0009987","GO:0005488, GO:0003824",
149,B9EIV1,B9EIV1_MOUSE,Mus musculus (Mouse),"Potassium transport {ECO:0000256|ARBA:ARBA00022538,, Transport {ECO:0000256|ARBA:ARBA00022538, ECO:0000256|ARBA:ARBA00022882,, Transmembrane {ECO:0000256|ARBA:ARBA00022989}, Ion transport {ECO:0000256|ARBA:ARBA00022538,, Potassium {ECO:0000256|ARBA:ARBA00022538, ECO:0000256|RuleBase:RU003822}, ECO:0000256|ARBA:ARBA00022882, ECO:0000256|RuleBase:RU003822}, ECO:0000256|RuleBase:RU003822}, Voltage-gated channel {ECO:0000256|ARBA:ARBA00022882,, Membrane {ECO:0000256|ARBA:ARBA00022989}, Ion channel {ECO:0000256|ARBA:ARBA00022882, ECO:0000256|RuleBase:RU003822}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989}",integral component of membrane IEA,GO:0016021,inward rectifier potassium channel activity IEA,GO:0005242,regulation of ion transmembrane transport IEA,GO:0034765,,GO:0065007,GO:0005215,
150,B9EIX2,B9EIX2_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Coiled coil {ECO:0000256|SAM:Coils}, Proteomics identification {ECO:0000213|EPD:B9EIX2,, ECO:0000213|MaxQB:B9EIX2, ECO:0000213|PeptideAtlas:B9EIX2}",,,,,,,,,,
151,B9EJ80,PDZD8_MOUSE,Mus musculus (Mouse)," Zinc-finger,  Metal-binding,  Reference proteome,  Transmembrane,  Endoplasmic reticulum,  Lipid transport, Membrane, Coiled coil,  Phosphoprotein,  Zinc,  Lipid-binding,  Transport, Transmembrane helix","mitochondrion IEA, integral component of membrane IEA, endoplasmic reticulum membrane IDA, mitochondria-associated endoplasmic reticulum membrane IDA","GO:0005739, GO:0016021, GO:0044233, GO:0005789","metal ion binding IEA, lipid binding IEA","GO:0046872, GO:0008289","mitochondrial calcium ion homeostasis IDA, mitochondrion-endoplasmic reticulum membrane tethering IDA, intracellular signal transduction IEA, regulation of cell morphogenesis ISO, lipid transport IEA, cytoskeleton organization ISO","GO:0007010, GO:0051560, GO:1990456, GO:0035556, GO:0022604, GO:0006869",PDZ domain-containing protein 8 {ECO:0000305},"GO:0051179, GO:0065007, GO:0009987",GO:0005488,"GO:0031090, GO:0043229, GO:0044232, GO:0043227"
152,B9EKB4,B9EKB4_MOUSE,Mus musculus (Mouse),"Kinase {ECO:0000256|ARBA:ARBA00022777, ECO:0000256|PROSITE-, Transferase {ECO:0000256|ARBA:ARBA00022777, ECO:0000256|PROSITE-, ProRule:PRU00269, ECO:0000313|EMBL:AAI508141}",,,"phosphatidylinositol binding IEA, 1-phosphatidylinositol-4-phosphate 3-kinase activity IEA, ATP binding IEA","GO:0035091, GO:0005524, GO:0035005",phosphatidylinositol-mediated signaling IEA,GO:0048015,,"GO:0065007, GO:0009987","GO:0005488, GO:0003824",
153,C5H0E8,C5H0E8_MOUSE,Mus musculus (Mouse),"GTP-binding {ECO:0000256|ARBA:ARBA00023134}, Nucleotide-binding {ECO:0000256|ARBA:ARBA00023134}",membrane IEA,GO:0016020,"GTPase activity IEA, GTP binding IEA","GO:0003924, GO:0005525",Rap protein signal transduction IEA,GO:0032486,,"GO:0065007, GO:0009987","GO:0005488, GO:0003824",
154,C6EQH2,C6EQH2_MOUSE,Mus musculus (Mouse),"ECO:0000256|PROSITE-ProRule:PRU00104}, Zinc-finger {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-, Ubl conjugation pathway {ECO:0000256|ARBA:ARBA00022786,, Cytoplasm {ECO:0000256|ARBA:ARBA00022490}, ProRule:PRU00228}, Metal-binding {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-, Zinc {ECO:0000256|ARBA:ARBA00022771, ECO:0000256|PROSITE-ProRule:PRU00228}, Coiled coil {ECO:0000256|SAM:Coils},  Repeat {ECO:0000256|ARBA:ARBA00022737}",cytoplasm IEA,GO:0005737,"ubiquitin-protein transferase activity IEA, zinc ion binding IEA","GO:0008270, GO:0004842",,,HECT-type E3 ubiquitin transferase {ECO:0000256|ARBA:ARBA00012485},,"GO:0005488, GO:0003824",
155,C6EQH3,C6EQH3_MOUSE,Mus musculus (Mouse),"ECO:0000256|RuleBase:RU361258}, Metal-binding {ECO:0000256|ARBA:ARBA00022723, ECO:0000256|HAMAP-, Nucleotide-binding {ECO:0000256|ARBA:ARBA00023134, ECO:0000256|HAMAP-, GTP-binding {ECO:0000256|ARBA:ARBA00023134, ECO:0000256|HAMAP-, Ligase {ECO:0000256|ARBA:ARBA00022598, ECO:0000256|HAMAP-Rule:MF_03221,, Mitochondrion {ECO:0000256|ARBA:ARBA00023128, ECO:0000256|HAMAP-, Magnesium {ECO:0000256|ARBA:ARBA00022842, ECO:0000256|HAMAP-Rule:MF_03221}, Tricarboxylic acid cycle {ECO:0000256|ARBA:ARBA00022532, ECO:0000256|HAMAP-, ATP-binding {ECO:0000256|PROSITE-ProRule:PRU00409}, Rule:MF_03221}, Rule:MF_03221, ECO:0000256|PROSITE-ProRule:PRU00409}",mitochondrion IEA,GO:0005739,"succinate-CoA ligase (GDP-forming) activity IEA, GTP binding IEA, magnesium ion binding IEA, succinate-CoA ligase (ADP-forming) activity IEA, ATP binding IEA","GO:0004775, GO:0000287, GO:0005525, GO:0005524, GO:0004776","succinyl-CoA metabolic process IEA, tricarboxylic acid cycle IEA","GO:0006099, GO:0006104","Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial {ECO:0000256|HAMAP-Rule:MF_03221}","GO:0008152, GO:0009987","GO:0005488, GO:0003824","GO:0043229, GO:0043227"
156,C9K0Z7,C9K0Z7_MOUSE,Mus musculus (Mouse),"Transmembrane helix {ECO:0000256|SAM:Phobius}, ProRule:PRU00339}, Isomerase {ECO:0000256|PROSITE-ProRule:PRU00277},  Transmembrane {ECO:0000256|SAM:Phobius}, Membrane {ECO:0000256|SAM:Phobius}, TPR repeat {ECO:0000256|ARBA:ARBA00022803, ECO:0000256|PROSITE-, Rotamase {ECO:0000256|PROSITE-ProRule:PRU00277}",integral component of membrane IEA,GO:0016021,peptidyl-prolyl cis-trans isomerase activity IEA,GO:0003755,,,Peptidylprolyl isomerase {ECO:0000256|PROSITE-ProRule:PRU00277},,GO:0003824,
157,C9K0Z8,C9K0Z8_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, Sodium channel {ECO:0000256|ARBA:ARBA00022461}, Ligand-gated ion channel {ECO:0000256|ARBA:ARBA00023286}, Sodium {ECO:0000256|ARBA:ARBA00022461}, Transport {ECO:0000256|ARBA:ARBA00022461, ECO:0000256|ARBA:ARBA00023286}, ECO:0000256|ARBA:ARBA00023286}, Ion channel {ECO:0000256|ARBA:ARBA00022461, ECO:0000256|ARBA:ARBA00023286}, ECO:0000256|SAM:Phobius}, Sodium transport {ECO:0000256|ARBA:ARBA00022461}, Ion transport {ECO:0000256|ARBA:ARBA00022461,, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}","integral component of membrane IEA, plasma membrane IEA","GO:0005886, GO:0016021","sodium channel activity IEA, voltage-gated potassium channel activity IEA","GO:0005249, GO:0005272",,,,,GO:0005215,
158,D0VYV6,D0VYV6_MOUSE,Mus musculus (Mouse),"Phosphoprotein {ECO:0000256|ARBA:ARBA00022553}, ECO:0000213|PeptideAtlas:D0VYV6}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|MaxQB:D0VYV6,, Coiled coil {ECO:0000256|SAM:Coils}","cell-cell junction IEA, plasma membrane IEA, cytoskeleton IEA","GO:0005911, GO:0005886, GO:0005856","actin binding IEA, structural molecule activity IEA","GO:0005198, GO:0003779","regulation of cell growth IEA, cortical actin cytoskeleton organization IEA","GO:0030866, GO:0001558",,"GO:0065007, GO:0009987",GO:0005488,"GO:0043228, GO:0030054, GO:0043229"
159,D3YTQ9,D3YTQ9_MOUSE,Mus musculus (Mouse),"Ribonucleoprotein {ECO:0000256|ARBA:ARBA00022980,, Reference proteome {ECO:0000313|Proteomes:UP000000589}, ECO:0000256|RuleBase:RU003485}, Proteomics identification {ECO:0000213|EPD:D3YTQ9,, Ribosomal protein {ECO:0000256|ARBA:ARBA00022980,, Coiled coil {ECO:0000256|SAM:Coils}, ECO:0000213|MaxQB:D3YTQ9, ECO:0000213|PeptideAtlas:D3YTQ9}",small ribosomal subunit IEA,GO:0015935,"structural constituent of ribosome IEA, RNA binding IEA","GO:0003735, GO:0003723",translation IEA,GO:0006412,40S ribosomal protein S15 {ECO:0000256|ARBA:ARBA00022219},"GO:0008152, GO:0009987","GO:0005488, GO:0005198",GO:1990904
160,D3YTR7,D3YTR7_MOUSE,Mus musculus (Mouse),"ECO:0000213|MaxQB:D3YTR7, ECO:0000213|PeptideAtlas:D3YTR7}, Proteomics identification {ECO:0000213|EPD:D3YTR7,, Reference proteome {ECO:0000313|Proteomes:UP000000589}",plasma membrane IEA,GO:0005886,actin binding IEA,GO:0003779,"cytoskeleton organization IEA, cell morphogenesis IEA","GO:0007010, GO:0000902",Adenylyl cyclase-associated protein {ECO:0000256|RuleBase:RU000647},"GO:0009987, GO:0032502",GO:0005488,
161,D3YTY2,D3YTY2_MOUSE,Mus musculus (Mouse),"Membrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}, G-protein coupled receptor {ECO:0000256|ARBA:ARBA00023040,, Receptor {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU004424}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Taste {ECO:0000256|ARBA:ARBA00022480, ECO:0000256|RuleBase:RU004424}, ECO:0000256|SAM:Phobius}, ECO:0000256|RuleBase:RU004424}, Transducer {ECO:0000256|ARBA:ARBA00023040, ECO:0000256|RuleBase:RU004424}, Sensory transduction {ECO:0000256|ARBA:ARBA00022480,, Pheromone response {ECO:0000256|ARBA:ARBA00022507}, Transmembrane helix {ECO:0000256|ARBA:ARBA00022989,, Transmembrane {ECO:0000256|ARBA:ARBA00022989, ECO:0000256|SAM:Phobius}","integral component of membrane IEA, plasma membrane IEA","GO:0005886, GO:0016021",pheromone receptor activity IEA,GO:0016503,"sensory perception of taste IEA, response to pheromone IEA","GO:0019236, GO:0050909",Taste receptor type 2 {ECO:0000256|RuleBase:RU004424},"GO:0050896, GO:0032501",GO:0060089,
162,D3YTZ7,D3YTZ7_MOUSE,Mus musculus (Mouse),"Reference proteome {ECO:0000313|Proteomes:UP000000589}, Proteomics identification {ECO:0000213|EPD:D3YTZ7,, Hydrolase {ECO:0000256|ARBA:ARBA00022670}, Protease {ECO:0000256|ARBA:ARBA00022670}, ECO:0000213|MaxQB:D3YTZ7}, Ubl conjugation pathway {ECO:0000256|ARBA:ARBA00022786}",,,thiol-dependent ubiquitin-specific protease activity IEA,GO:0004843,protein deubiquitination IEA,GO:0016579,Ubiquitinyl hydrolase 1 {ECO:0000256|ARBA:ARBA00012759},"GO:0008152, GO:0009987",GO:0003824,
163,D3YU09,D3YU09_MOUSE,Mus musculus (Mouse),"Metal-binding {ECO:0000256|RuleBase:RU366009}, Zinc {ECO:0000256|RuleBase:RU366009}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Hydrolase {ECO:0000256|RuleBase:RU366009}, ECO:0000213|MaxQB:D3YU09, ECO:0000213|PeptideAtlas:D3YU09}, Proteomics identification {ECO:0000213|EPD:D3YU09,",,,"guanine deaminase activity IEA, zinc ion binding IEA","GO:0008892, GO:0008270",guanine catabolic process IEA,GO:0006147,"Guanine deaminase {ECO:0000256|ARBA:ARBA00014514, ECO:0000256|RuleBase:RU366009}","GO:0008152, GO:0009987","GO:0005488, GO:0003824",
164,D3YU15,D3YU15_MOUSE,Mus musculus (Mouse),"Proteomics identification {ECO:0000213|MaxQB:D3YU15,, ECO:0000213|PeptideAtlas:D3YU15}, Reference proteome {ECO:0000313|Proteomes:UP000000589}, Hydrolase {ECO:0000256|ARBA:ARBA00022801}",,,dimethylargininase activity IEA,GO:0016403,"positive regulation of nitric oxide biosynthetic process IEA, citrulline metabolic process IEA, arginine catabolic process IEA","GO:0045429, GO:0006527, GO:0000052",Dimethylargininase {ECO:0000256|ARBA:ARBA00012208},"GO:0008152, GO:0009987, GO:0065007",GO:0003824,
