Q99KX1,"Cytoplasm,  Nucleus,  Reference proteome,  Phosphoprotein"
Q0V8T7," EGF-like domain,  Repeat,  Disulfide bond,  Transmembrane,  Membrane, Cell adhesion,  Transmembrane helix, Reference proteome,  Glycoprotein,  Signal"
Q0V8T9," EGF-like domain,  Repeat,  Disulfide bond,  Transmembrane,  Membrane, Cell adhesion,  Transmembrane helix, Reference proteome,  Glycoprotein,  Signal"
Q0VB07," Reference proteome,  Antimicrobial, Innate immunity,  Repeat,  Secreted,  Immunity,  Disulfide bond, Antibiotic,  Glycoprotein,  Signal"
Q0VG85," Direct protein sequencing, Reference proteome, Alternative splicing,  Coiled coil"
Q14AM7," Reference proteome, Phosphoprotein"
Q14DK4," Alternative splicing,  Transferase,  Transmembrane helix,  Transmembrane,  Membrane,  Mitochondrion outer membrane, Acyltransferase,  Phospholipid metabolism, Reference proteome,  Mitochondrion,  Phosphoprotein, Lipid metabolism,  Lipid biosynthesis, Phospholipid biosynthesis"
Q1EG27,"3D-structure,  Nucleotide-binding,  Hearing,  Alternative splicing,  Cytoplasm,  Motor protein,  Reference proteome, Myosin,  Repeat,  Serine/threonine-protein kinase,  Vision,  Actin-binding,  Cytoskeleton,  Kinase, Cell projection,  Transferase,  ATP-binding, Sensory transduction"
Q1RNF8," Reference proteome, Nucleus,  Phosphoprotein"
Q2EG98," Ion transport, Alternative splicing,  Membrane,  Calcium transport, Disulfide bond,  Lectin,  Transmembrane, Reference proteome,  Glycoprotein,  Transmembrane helix,  Transport,  Cell membrane,  Signal,  Ion channel,  Calcium"
Q32M21," Reference proteome,  Cytoplasm,  Coiled coil,  Transmembrane beta strand, Alternative splicing,  Membrane,  Transmembrane, Necrosis,  Cell membrane"
Q32P12," Reference proteome,  Methylation,  DNA recombination,  DNA synthesis, Alternative splicing,  Nucleus, Phosphoprotein,  Chromosome, DNA repair,  DNA-binding,  DNA damage"
Q3TD49," Hydrolase,  Protease, Golgi apparatus,  Lysosome, Alternative splicing,  Membrane,  Transmembrane,  Transmembrane helix, Reference proteome,  Glycoprotein,  Endosome,  Cell membrane,  Signal"
Q3TJZ6,Reference proteome
Q3TL54,"Metal-binding,  Reference proteome,  Zinc,  Zinc-finger"
Q3TRM8," Nucleotide-binding,  Repeat, Allosteric enzyme, Reference proteome,  Kinase,  Glycolysis,  Transferase,  ATP-binding"
Q3TYA6," Reference proteome,  Transcription,  Nucleus, Repeat,  Chromosome,  Transcription regulation,  Phosphoprotein, ANK repeat"
Q3TYU2," Nucleotide-binding,  Magnesium,  Reference proteome, Metal-binding,  Transmembrane helix, Alternative splicing,  Membrane, Transmembrane,  Glycoprotein,  Translocase,  ATP-binding"
Q3U0K8,"Oxidoreductase,  Reference proteome,  Cytoplasm, Alternative splicing,  Metal-binding,  Iron,  Nucleus,  Dioxygenase,  Vitamin C"
Q3U0V2,"Apoptosis,  Reference proteome,  Cytoplasm,  Cytoskeleton,  Nucleus"
Q3U962,"Hydroxylation,  Reference proteome,  Extracellular matrix,  Repeat,  Secreted,  Disulfide bond,  Collagen,  Metal-binding, Calcium,  Glycoprotein,  Signal"
Q3UCV8," Hydrolase,  Reference proteome,  Protease,  Cytoplasm,  Coiled coil, Innate immunity, Acetylation,  Angiogenesis,  Immunity, Thiol protease,  Ubl conjugation,  Phosphoprotein, Wnt signaling pathway,  Ubl conjugation pathway"
Q3UDP0," Reference proteome,  Cytoplasm,  Repeat, Alternative splicing,  Autophagy, WD repeat"
Q3UES3,"ADP-ribosylation,  Cytoplasm,  Repeat,  Glycosyltransferase, Golgi apparatus,  Zinc,  Telomere,  ANK repeat,  Membrane,  Metal-binding,  NAD,  Nucleus, Reference proteome,  Chromosome,  Hydroxylation,  Ubl conjugation,  Transferase, Wnt signaling pathway"
Q3UFM5," Reference proteome, Nucleus,  Phosphoprotein"
Q3UG20," Growth arrest,  Reference proteome,  Cell cycle,  Cytoplasm, Transcription regulation,  Zinc-finger,  Chromatin regulator, Metal-binding,  Zinc, Alternative splicing,  Transcription,  Cytoskeleton,  Nucleus, Coiled coil,  Glycoprotein,  Chromosome,  Ubl conjugation,  Phosphoprotein"
Q3UHE1," Reference proteome, Alternative splicing,  Membrane,  Metal-binding, Phosphoprotein,  Calcium,  Lipid-binding"
Q3UKU1," Reference proteome, Nucleus, Transcription regulation,  Transcription,  Ubl conjugation,  Phosphoprotein"
Q3UMU9," Reference proteome,  Coiled coil, Alternative splicing,  Nucleus, Phosphoprotein,  Isopeptide bond,  Ubl conjugation"
Q3UN02," Reference proteome, Acetylation, Glycoprotein,  Transmembrane,  Membrane,  Transmembrane helix,  Endoplasmic reticulum,  Lipid metabolism,  Developmental protein,  Phospholipid metabolism, Transferase,  Lipid biosynthesis, Phospholipid biosynthesis,  Acyltransferase"
Q3UQ44," Reference proteome, Calmodulin-binding,  Repeat,  Phosphoprotein"
Q3URY0,"Metal-binding,  Reference proteome,  Zinc,  Zinc-finger"
Q3USQ7," Reference proteome, Golgi apparatus,  Transmembrane,  Membrane, Transmembrane helix"
Q3UV17," Methylation,  Keratin, Reference proteome, Coiled coil,  Intermediate filament"
Q3UVL4," Reference proteome,  Alternative splicing,  Coiled coil, Acetylation, Lipid transport,  Golgi apparatus,  Protein transport,  Endosome, Transport,  Phosphoprotein"
Q3UWQ3," Nucleotide-binding,  Reference proteome, Acetylation, Transferase,  ATP-binding,  Ubl conjugation pathway"
Q3UXZ6,"Coiled coil,  Reference proteome"
Q3UYK3," GTPase activation,  Reference proteome, Alternative splicing,  Repeat"
Q3UZP0," Reference proteome,  Hearing,  Coiled coil,  Transmembrane,  Membrane,  Tight junction, Phosphoprotein,  Cell membrane,  Ubl conjugation, Transmembrane helix, Cell junction"
Q3V188," Hydrolase,  Reference proteome,  Repeat,  Secreted, Metal-binding,  Disulfide bond, Alternative splicing,  RNA-binding,  Manganese, Signal,  Nuclease,  Endonuclease"
Q3V1L6,Reference proteome
Q3V1M1," Immunoglobulin domain,  Reference proteome,  Repeat,  Secreted, Disulfide bond,  Leucine-rich repeat,  Glycoprotein, Phosphoprotein,  Signal"
Q3V384," Hydrolase,  Nucleotide-binding,  Membrane, Reference proteome, ATP-binding,  Mitochondrion"
Q3V3Q4,Reference proteome
Q3ZN08," Reference proteome, Nucleus"
Q402U7," Hydrolase,  Reference proteome,  Protease,  Cytoplasm,  Serine protease,  Disulfide bond, Alternative splicing,  Transmembrane helix, Membrane, Transmembrane,  Glycoprotein,  Signal"
Q497L8," Reference proteome,  Ion transport, Alternative splicing,  Membrane, Differentiation, Spermatogenesis,  Transmembrane,  Transmembrane helix,  Developmental protein,  Glycoprotein,  Transport,  Cell membrane"
Q56A04," Hydrolase,  Reference proteome,  DNA recombination, Nuclease,  DNA repair,  Nucleus,  Endonuclease, DNA damage"
Q5DU37," Reference proteome,  Cell cycle,  Cytoplasm,  Zinc-finger,  Coiled coil,  Zinc, Alternative splicing, Cytoskeleton,  Metal-binding,  Lipid-binding,  DNA repair, Phosphoprotein,  DNA damage,  Cell division"
Q5EE38," Reference proteome, Alternative splicing,  Telomere,  Nucleus, Phosphoprotein,  Chromosome,  Isopeptide bond,  Ubl conjugation,  DNA-binding"
Q5NCX5," Cytoplasm,  Repeat, Alternative splicing,  Cytoskeleton, Reference proteome,  Ubl conjugation,  Phosphoprotein,  Ubl conjugation pathway"
Q5NCY0,"3D-structure,  Reference proteome, Iron,  Chromatin regulator,  Zinc,  Oxidoreductase,  Metal-binding,  Nucleus, Phosphoprotein,  Inflammatory response,  Dioxygenase,  Isopeptide bond,  Ubl conjugation"
Q5SGK3," Reference proteome,  Cytoplasm,  Flavoprotein,  Iron-sulfur,  Oxidoreductase,  Metal-binding,  FAD,  Iron, 2Fe-2S, Molybdenum"
Q5SQM0," Reference proteome,  Repeat,  Cytoskeleton, Cytoplasm,  Microtubule, WD repeat"
Q5SSE9," Nucleotide-binding,  Repeat,  Transmembrane helix, Alternative splicing,  Membrane,  Transmembrane,  Transport, Reference proteome,  ATP-binding"
Q6PDH3," Cell junction,  Reference proteome, Guanine-nucleotide releasing factor, Synapse, Alternative splicing,  Cell projection,  Phosphoprotein,  GTPase activation"
Q5SSM3," Cell junction,  Reference proteome, Alternative splicing,  Cell projection,  Endosome, GTPase activation,  Phosphoprotein,  Synapse"
Q5SWY7," Reference proteome,  Cytoplasm, Acetylation,  Nucleus,  Phosphoprotein"
Q5XJY6," DNA repair,  Reference proteome, DNA damage,  Nucleus"
Q60625," Immunoglobulin domain,  Reference proteome,  Repeat,  Disulfide bond,  Transmembrane helix, Cell adhesion, Membrane, Transmembrane,  Glycoprotein,  Signal,  Phosphoprotein"
Q60636," Repressor,  Alternative splicing,  Nucleus, Transcription,  Ubl conjugation, Isopeptide bond, Adaptive immunity,  Zinc-finger,  Repeat, Reference proteome, Cytoplasm,  Transferase,  S-adenosyl-L-methionine, Zinc,  Alternative promoter usage,  Metal-binding,  Transcription regulation,  Innate immunity,  DNA-binding,  Immunity,  Developmental protein,  Methyltransferase"
Q60838,"3D-structure,  Cytoplasm,  Wnt signaling pathway, Developmental protein,  Membrane,  Cytoplasmic vesicle,  Nucleus, Reference proteome,  Cell membrane,  Phosphoprotein"
Q60953," Alternative splicing,  Coiled coil, Endoplasmic reticulum, Innate immunity, Acetylation,  Transcription,  Nucleus,  Ubl conjugation,  Reference proteome,  Apoptosis,  Repeat,  Zinc,  Isopeptide bond, Biological rhythms,  Antiviral defense,  Metal-binding,  Endosome,  Tumor suppressor,  DNA-binding,  Host-virus interaction,  Activator, Zinc-finger, Transcription regulation,  Cytoplasm,  Immunity,  Membrane, Phosphoprotein"
Q60974," Repressor, Transcription regulation,  Alternative splicing,  Repeat,  Biological rhythms, Acetylation,  Chromatin regulator,  Transcription,  Ubl conjugation,  Nucleus, Coiled coil, Reference proteome,  Isopeptide bond,  Phosphoprotein,  DNA-binding"
Q60976," Nucleus,  Reference proteome, DNA-binding"
Q60989,"Apoptosis,  Reference proteome,  Cytoplasm,  Wnt signaling pathway,  Repeat,  Zinc,  Metal-binding,  S-nitrosylation, Ubl conjugation,  Nucleus, Phosphoprotein,  Isopeptide bond,  Transferase, Zinc-finger,  Ubl conjugation pathway"
Q61056," Repeat,  Ion transport, Alternative splicing,  ANK repeat, Calcium transport,  Membrane,  Transmembrane,  Transmembrane helix, Reference proteome,  Transport,  Phosphoprotein,  Ion channel,  Calcium,  Calcium channel"
Q61062," Methylation,  Wnt signaling pathway,  Ubl conjugation,  Developmental protein, Reference proteome,  Phosphoprotein, Cytoplasm"
Q61122,"Isopeptide bond,  Reference proteome,  Repressor,  Ubl conjugation,  Nucleus, Transcription,  Transcription regulation,  Phosphoprotein"
Q61143,"3D-structure,  Reference proteome, Cell membrane,  Repeat,  Ion transport,  Transmembrane,  ANK repeat,  Calcium transport,  Membrane,  Transport,  Glycoprotein, Phosphoprotein,  Ion channel,  Calcium, Transmembrane helix,  Calcium channel"
Q61400," Immunoglobulin domain,  Repeat,  Secreted, Direct protein sequencing, Reference proteome,  Glycoprotein,  Signal"
Q61474,"3D-structure,  Reference proteome,  Cytoplasm,  Alternative splicing,  Repeat,  RNA-binding,  Nucleus,  Acetylation, Phosphoprotein"
Q61532," Nucleotide-binding,  Cell cycle,  Cytoplasm,  Reference proteome,  Serine/threonine-protein kinase,  Nucleus, ATP-binding,  Kinase, Phosphoprotein, Transferase,  Ubl conjugation"
Q61602,"Isopeptide bond,  Repressor,  Cytoplasm,  Methylation, Transcription regulation,  Repeat,  Zinc-finger, Acetylation,  Zinc,  Metal-binding,  Transcription,  Cilium,  Ubl conjugation,  Nucleus,  Cell projection, Reference proteome,  Phosphoprotein,  DNA-binding,  Activator"
Q61614," Reference proteome, Cell membrane,  Disulfide bond,  Transmembrane helix,  Receptor, Membrane, Transmembrane,  Glycoprotein,  Signal,  Phosphoprotein,  Transducer,  G-protein coupled receptor"
Q61645," Zinc,  Oxidoreductase,  Metal-binding,  Transcription,  Iron,  Nucleus, Reference proteome,  Transcription regulation, Zinc-finger, DNA-binding"
Q6PHZ3,"Methylation,  Alternative splicing,  Cytoplasm,  mRNA processing,  Repeat, Alternative initiation,  RNA-binding, Reference proteome,  Cell projection,  mRNA splicing,  Phosphoprotein"
Q61831,"Lipoprotein,  Nucleotide-binding,  Reference proteome,  Cytoplasm,  Biological rhythms, Alternative splicing,  Membrane,  Nucleus,  Kinase,  Mitochondrion, Palmitate,  Phosphoprotein,  Transferase, Serine/threonine-protein kinase,  ATP-binding"
Q61967," Reference proteome,  Repressor,  Zinc-finger,  Zinc,  Metal-binding,  Transcription, Ubl conjugation,  Nucleus, Repeat,  Transcription regulation,  Isopeptide bond, DNA-binding"
Q62083," Cell junction, Lipoprotein,  Palmitate,  Cytoplasm,  Zinc,  Membrane,  Metal-binding,  Cytoskeleton, Reference proteome,  Phosphoprotein,  Calcium, Actin-binding,  Synaptosome,  Synapse"
Q62159," GTP-binding,  Reference proteome,  Methylation, Cell membrane, Nucleotide-binding,  Prenylation,  Membrane,  Lipoprotein"
Q62172,"Acetylation,  Membrane,  Transport, Reference proteome,  Phosphoprotein,  GTPase activation"
Q62190,"Innate immunity,  Transmembrane,  Kinase,  Ubl conjugation, Receptor,  Reference proteome,  Repeat,  Cleavage on pair of basic residues,  Glycoprotein,  Signal,  Transferase,  Tyrosine-protein kinase, Alternative splicing,  Phosphoprotein, Transmembrane helix,  Host-virus interaction,  Nucleotide-binding,  Immunity,  Membrane, Disulfide bond,  ATP-binding"
Q62203," Spliceosome,  Reference proteome,  Zinc-finger,  mRNA processing,  Repeat, Acetylation,  Zinc,  Metal-binding,  Nucleus, Phosphoprotein,  mRNA splicing"
Q62230,"3D-structure,  Reference proteome,  Alternative splicing,  Repeat, Direct protein sequencing,  Disulfide bond, Immunoglobulin domain,  Membrane, Secreted,  Endocytosis,  Cell adhesion,  Lectin,  Transmembrane,  Glycoprotein,  Transmembrane helix,  Cell membrane,  Signal"
Q62504,"Notch signaling pathway,  Repressor,  Alternative splicing,  Methylation,  Coiled coil,  Repeat, Transcription regulation,  RNA-binding, Activator,  Transcription,  Nucleus, Reference proteome,  Phosphoprotein,  DNA-binding,  Polymorphism"
Q63918," Reference proteome,  Cytoplasm,  Coiled coil, Acetylation,  Membrane, Phosphoprotein,  Lipid-binding"
Q63932,"3D-structure,  Reference proteome,  Magnesium,  Cytoplasm, Nucleotide-binding, Direct protein sequencing,  Membrane,  Metal-binding,  Acetylation,  Kinase,  Phosphoprotein,  Transferase, Serine/threonine-protein kinase,  ATP-binding,  Tyrosine-protein kinase"
Q640N1," Reference proteome,  Repressor,  Cytoplasm,  Secreted, Glycoprotein, Alternative splicing,  Calmodulin-binding,  Nucleus, Transcription,  Transcription regulation,  Signal,  DNA-binding"
Q641K1," Metalloprotease, Neurodegeneration,  Cytoplasm,  Protease,  Reference proteome,  Carboxypeptidase, Zinc, Alternative splicing, Hydrolase,  Metal-binding,  Disease mutation,  Nucleus,  Mitochondrion,  Phosphoprotein"
Q64345," Cytoplasm,  Repeat,  Immunity,  TPR repeat, Antiviral defense, Reference proteome,  Mitochondrion,  Innate immunity"
Q64446," Copper,  Reference proteome,  Magnesium, Nucleotide-binding,  Repeat, Golgi apparatus,  Ion transport, Translocase,  Membrane,  Metal-binding,  Transmembrane,  Disease mutation,  Transmembrane helix,  Transport, ATP-binding,  Endosome,  Copper transport,  Phosphoprotein"
Q64729," Transmembrane helix,  Kinase,  Ubl conjugation, Isopeptide bond,  Reference proteome, Nucleotide-binding,  Apoptosis,  Growth regulation,  Glycoprotein,  Cell membrane,  Signal,  Transferase, Serine/threonine-protein kinase,  Cell junction, Alternative splicing,  Metal-binding,  Tight junction, Transmembrane,  Phosphoprotein,  Magnesium,  Disulfide bond,  Membrane, Differentiation,  Receptor,  Manganese,  ATP-binding"
Q64731," Reference proteome, Transcription regulation,  Transcription,  Nucleus, DNA-binding"
Q66JT1,"Cell membrane,  Repeat,  Disulfide bond,  Ion transport,  Membrane,  Transmembrane,  Endoplasmic reticulum,  Transmembrane helix,  Leucine-rich repeat, Reference proteome,  Glycoprotein,  Transport, Ion channel"
Q67E05," Reference proteome,  Antimicrobial,  Secreted,  Disulfide bond, Alternative splicing, Glycoprotein,  Membrane,  Antibiotic,  Signal"
Q67FY2," Reference proteome, Nucleus,  Alternative splicing,  Methylation, Transcription regulation, Acetylation,  Transcription,  Ubl conjugation,  Isopeptide bond,  Phosphoprotein,  Activator"
Q689Z5," Reference proteome,  Alternative splicing,  Coiled coil, Acetylation, Phosphoprotein,  Direct protein sequencing"
Q68EF0," Reference proteome,  Cytoplasm,  Coiled coil, Guanine-nucleotide releasing factor,  Transport,  Cytoskeleton,  Nucleus, Protein transport,  Phosphoprotein, Cell projection"
Q68FD9," Reference proteome,  Transmembrane helix,  Membrane, Transmembrane,  Phosphoprotein, Cell projection"
Q69ZB8," Reference proteome,  Zinc-finger,  Zinc, Alternative splicing,  Metal-binding"
Q69ZH9,"Alternative splicing,  Ubl conjugation, Reference proteome,  Isopeptide bond,  Phosphoprotein,  GTPase activation"
Q69ZT1," Hydrolase,  Reference proteome,  Magnesium, Nucleus,  Zinc-finger,  Coiled coil, Exonuclease,  Zinc, Alternative splicing,  Metal-binding,  Manganese,  DNA repair,  Nuclease,  Ubl conjugation,  Endonuclease,  DNA damage"
Q69ZZ9,Reference proteome
Q6DFY8,"Cell cycle,  Growth arrest,  Reference proteome,  Secreted, Signal,  Glycoprotein"
Q6DID5," Reference proteome,  DNA repair,  Nucleus,  Phosphoprotein, DNA damage"
Q6IFZ9," Keratin, Coiled coil,  Reference proteome,  Intermediate filament"
Q6J1H4," Alternative initiation, Activator,  Transcription,  Nucleus, Reference proteome,  Transcription regulation,  Phosphoprotein"
Q6NS59," Reference proteome, Alternative splicing"
Q6NS82," Reference proteome,  Transmembrane helix, Alternative splicing,  Membrane, Transmembrane,  Phosphoprotein"
Q6NSW3," Reference proteome, Alternative splicing,  Cytoplasm,  Phosphoprotein"
Q6NXH8," Transferase,  Reference proteome, Methyltransferase"
Q6NXI6," Alternative splicing,  Methylation, Acetylation, Reference proteome,  Phosphoprotein"
Q6NZC7,"Cytoplasmic vesicle,  Membrane,  Endoplasmic reticulum, Reference proteome,  Phosphoprotein"
Q6NZN0,"Isopeptide bond,  Reference proteome,  Alternative splicing,  Zinc-finger,  Coiled coil,  Repeat, Acetylation, RNA-binding,  Zinc,  Metal-binding,  Ubl conjugation,  Phosphoprotein,  Direct protein sequencing"
Q6P4S6," Nucleotide-binding,  Magnesium,  Cytoplasm,  Methylation,  Serine/threonine-protein kinase, Metal-binding, Alternative splicing, Reference proteome,  Kinase,  Phosphoprotein,  Transferase,  ATP-binding"
Q6PAL7," Methylation,  Repeat, Acetylation,  Ubl conjugation, Reference proteome,  Isopeptide bond,  Phosphoprotein,  DNA-binding"
Q6PCP7," Coiled coil, Glycoprotein,  Synapse,  Membrane,  Receptor,  Transmembrane, Reference proteome,  Cell membrane, Transmembrane helix, Cell junction,  Transducer,  G-protein coupled receptor,  Postsynaptic cell membrane"
Q6PF93," Nucleotide-binding,  Cell cycle,  Reference proteome, Cytoplasmic vesicle, Alternative splicing,  Manganese,  Endosome,  Kinase, Phosphoprotein,  Transferase,  Autophagy,  Cell division,  ATP-binding"
Q6QI06,"Reference proteome,  Developmental protein, Alternative splicing,  Phosphoprotein"
Q6R5P0," Hydrolase, Leucine-rich repeat,  Reference proteome,  Repeat, Glycoprotein,  Immunity,  Membrane,  Receptor,  Transmembrane,  NAD, Signal,  Transmembrane helix,  Inflammatory response,  Innate immunity"
Q6RUU0," Secreted,  Disulfide bond, Alternative splicing,  Metal-binding, Reference proteome,  Glycoprotein,  Signal,  Calcium"
Q6TCG2," Reference proteome, Steroid-binding, Cell membrane,  Transmembrane helix,  Transmembrane,  Membrane,  Receptor,  Lipid-binding"
Q6TL19," GTP-binding,  Reference proteome, Nucleotide-binding,  Lyase,  Transmembrane,  Membrane,  Receptor,  Glycoprotein, cGMP biosynthesis,  Signal, Transmembrane helix"
Q6ZPQ6," Reference proteome,  Cytoplasm,  Methylation, Alternative splicing,  Metal-binding, Membrane,  Cytoskeleton,  Phosphoprotein,  Calcium,  Lipid-binding"
Q6ZQ12," Reference proteome,  Cytoplasm,  Coiled coil,  Repeat, Alternative splicing,  Metal-binding, Microtubule,  Cytoskeleton,  Ubl conjugation,  Phosphoprotein"
Q6ZQK5," Reference proteome,  Coiled coil,  Repeat,  Zinc, Alternative splicing,  ANK repeat,  Metal-binding, Membrane,  Endosome,  Phosphoprotein,  GTPase activation, Zinc-finger"
Q70FJ1," Reference proteome,  Cytoplasm,  Coiled coil, Golgi apparatus, Alternative splicing,  Cytoskeleton,  Phosphoprotein"
Q78DX7,"Nucleotide-binding,  Repeat,  Proto-oncogene,  Transmembrane,  Membrane,  Receptor, Reference proteome, ATP-binding,  Kinase,  Glycoprotein,  Cell membrane,  Signal,  Phosphoprotein,  Transferase, Transmembrane helix,  Tyrosine-protein kinase"
Q7M756," Reference proteome,  Secreted, Disulfide bond, Serine protease homolog,  Glycoprotein,  Signal"
Q7TMA2," Reference proteome,  Repressor,  Alternative splicing,  Methylation, Transcription regulation,  Zinc-finger, Acetylation,  Zinc,  Metal-binding,  Transcription,  Nucleus, Phosphoprotein"
Q7TMS5,"Mitochondrion,  Nucleotide-binding,  Reference proteome,  Disulfide bond, Translocase,  Membrane,  Transmembrane,  Transmembrane helix,  Transport, ATP-binding,  Glycoprotein,  Cell membrane,  Phosphoprotein"
Q7TN73," Transmembrane helix,  Transmembrane,  Membrane,  Golgi apparatus, Acyltransferase, Reference proteome,  Glycoprotein,  Transferase"
Q7TNB8," Repressor,  Alternative splicing,  Osteogenesis, Activator,  Transcription, Reference proteome,  Transcription regulation,  Differentiation"
Q7TPM9," Reference proteome, Phosphoprotein"
Q7TQ69," Ion transport, Alternative splicing,  Membrane,  Transmembrane,  Transmembrane helix,  Transport, Reference proteome,  Glycoprotein,  Ion channel"
Q7TQH0,"Methylation,  Reference proteome,  Cytoplasm,  Alternative splicing, Acetylation,  Membrane,  Ubl conjugation,  Nucleus,  Isopeptide bond,  Phosphoprotein"
Q7TSG1,"3D-structure,  Reference proteome,  Cytoplasm,  Alternative splicing,  Coiled coil,  Repeat,  Cytoskeleton, Phosphoprotein"
Q7TSQ1," EGF-like domain,  Secreted,  Disulfide bond, Alternative splicing,  Receptor,  Lectin, Reference proteome"
Q80T14," Reference proteome,  Repeat,  Transmembrane,  Membrane,  Metal-binding, Calcium,  Glycoprotein, Phosphoprotein,  Cell membrane,  Signal, Transmembrane helix"
Q80TI0," Transmembrane helix, Lipid transport, Alternative splicing,  Membrane,  Endoplasmic reticulum,  Transmembrane,  Transport, Reference proteome,  Cell membrane,  Phosphoprotein,  Lipid-binding"
Q80TR1," Cell junction, 3D-structure, Lectin,  Alternative splicing,  Methylation,  Disulfide bond,  Transmembrane helix,  Membrane,  Receptor, Reference proteome,  Glycoprotein, Transmembrane,  Cell membrane,  Signal,  Phosphoprotein, Cell projection,  Transducer,  Synaptosome,  G-protein coupled receptor,  Synapse"
Q80TR8," Nucleotide-binding,  Reference proteome,  Alternative splicing,  Repeat,  Chromatin regulator, Acetylation,  Transcription,  WD repeat,  Nucleus,  Kinase, Phosphoprotein,  Transcription regulation, Transferase, Cytoplasm, Serine/threonine-protein kinase,  Host-virus interaction,  ATP-binding,  Ubl conjugation pathway"
Q80U44," Zinc-finger,  Zinc,  Membrane,  Metal-binding, Reference proteome,  Endosome,  Phosphoprotein, Cytoplasm"
Q80U58,"3D-structure,  Cytoplasm,  Alternative splicing,  Methylation,  Repeat,  RNA-binding, Reference proteome,  Phosphoprotein,  Translation regulation"
Q80U95," Transferase,  Reference proteome, Nucleus,  Ubl conjugation pathway"
Q80UF9," Reference proteome, Ion transport, Alternative splicing,  Membrane,  Transmembrane,  Transport,  Hydrogen ion transport,  Cell membrane,  Ion channel, Transmembrane helix"
Q80UG1," Fatty acid biosynthesis, Lipid biosynthesis,  Transmembrane helix, Alternative splicing,  Membrane,  Oxidoreductase,  Transmembrane,  Fatty acid metabolism,  Lipid metabolism, Reference proteome"
Q80UL9," Cell junction, 3D-structure,  Immunoglobulin domain,  Repeat,  Disulfide bond, Glycoprotein,  Immunity,  Membrane,  Transmembrane,  Cell adhesion,  Transmembrane helix, Reference proteome,  Cell membrane,  Signal,  Phosphoprotein"
Q80UM7," Hydrolase, 3D-structure,  Reference proteome,  Transmembrane,  Endoplasmic reticulum, Membrane,  Glycoprotein, Transmembrane helix,  Signal-anchor,  Glycosidase"
Q80W99," Transmembrane helix, Cell membrane,  Flagellum,  Ion transport, Alternative splicing,  Membrane,  Calcium transport, Differentiation,  Cilium,  Transmembrane,  Developmental protein,  Cell projection, Reference proteome, Transport,  Spermatogenesis,  Voltage-gated channel,  Ion channel,  Calcium,  Calcium channel"
Q80WT5," Cytoplasm,  Repeat, Alternative splicing,  Transport, Reference proteome,  Protein transport,  Phosphoprotein"
Q80X76,"Serine protease inhibitor, Glycoprotein,  Reference proteome,  Protease inhibitor"
Q80XB4," LIM domain,  Reference proteome,  Alternative splicing,  Repeat,  Zinc,  Metal-binding, Phosphoprotein, Actin-binding"
Q80XI3," Reference proteome,  Coiled coil,  Repeat,  RNA-binding, Alternative splicing, Protein biosynthesis, Translation regulation,  Initiation factor,  Phosphoprotein"
Q80XI6," Nucleotide-binding,  Reference proteome,  Cytoplasm,  Repeat,  SH3 domain,  Cytoskeleton, ATP-binding,  Kinase, Phosphoprotein,  Transferase, Serine/threonine-protein kinase"
Q80XL7," Hydrolase, GPI-anchor biosynthesis,  Transmembrane helix, Alternative splicing,  Membrane,  Golgi apparatus,  Metal-binding,  Manganese,  Transmembrane, Reference proteome,  Transport,  ER-Golgi transport"
Q80Y55," Reference proteome, Phosphoprotein"
Q80Y56," Reference proteome,  Zinc-finger,  Coiled coil, Acetylation, Metal-binding,  Zinc,  Membrane,  Protein transport,  Endosome, Transport,  Cell membrane,  Phosphoprotein,  Lipoprotein"
Q80YR6," Hydrolase, Isopeptide bond,  Cell cycle,  Coiled coil, Acetylation,  Ubl conjugation,  DNA repair,  Nuclease,  Nucleus,  Chromosome, Reference proteome,  Phosphoprotein,  Endonuclease,  DNA-binding,  Meiosis,  Cell division, DNA damage,  Mitosis"
Q80YT5," Reference proteome, Developmental protein, Secreted,  Spermatogenesis,  Phosphoprotein,  Differentiation"
Q811G0," Reference proteome,  Cytoplasm, Alternative splicing,  Membrane,  Cilium,  Cytoskeleton, Protein transport,  Cell projection,  Transport, Cilium biogenesis/degradation,  Cell membrane"
Q8BFP9,"Mitochondrion,  Nucleotide-binding,  Reference proteome,  Transit peptide, ATP-binding,  Kinase, Transferase,  Phosphoprotein,  Glucose metabolism,  Carbohydrate metabolism"
Q8BFQ8,"Glycoprotein,  Reference proteome,  Signal,  Secreted"
Q8BFU8," Reference proteome,  Hearing, Ion transport, Sodium,  Transmembrane,  Membrane,  Transport,  Cytoplasmic vesicle,  Neurotransmitter transport,  Glycoprotein,  Symport,  Deafness,  Synaptosome, Transmembrane helix, Cell junction,  Sodium transport,  Synapse"
Q8BG02,"Reference proteome,  WD repeat,  Repeat"
Q8BG18," Cytoplasm,  Coiled coil,  Repeat,  Metal-binding, Calcium, Reference proteome,  Phosphoprotein"
Q8BGV0," Reference proteome, Nucleotide-binding, Transit peptide, Acetylation,  Mitochondrion,  Aminoacyl-tRNA synthetase,  Protein biosynthesis,  Ligase,  ATP-binding"
Q8BGY6," Reference proteome,  Glycosyltransferase, Developmental protein,  Transmembrane,  Golgi apparatus, Membrane,  Glycoprotein,  Transferase, Transmembrane helix,  Signal-anchor"
