,Uniprot Entry,Accession Name,Name,Organism,GO Cellular Components,GO ID CC,GO Biological Process,GO ID BP,Keywords,GO Molecular Function,GO ID MF,Biological Process Label,Molecular Function Label,Cellular Component Label
60,O88878,ZFAN5_MOUSE,AN1-type zinc finger protein 5,Mus musculus (Mouse),cytoplasm IEA,GO:0005737,"smooth muscle tissue development IMP, respiratory system process IMP, fibroblast migration IMP, platelet-derived growth factor receptor signaling pathway IMP, in utero embryonic development IMP, vasculature development IMP, face development IMP, skeletal system morphogenesis IMP","GO:0010761, GO:0003016, GO:0060324, GO:0001701, GO:0048705, GO:0001944, GO:0048745, GO:0048008","3D-structure,  Cytoplasm,  Zinc-finger,  Zinc,  Metal-binding, Reference proteome,  Acetylation,  Phosphoprotein,  Ubl conjugation pathway","zinc ion binding IEA, DNA binding IEA","GO:0008270, GO:0003677","GO:0009987, GO:0032502, GO:0040011, GO:0032501, GO:0065007",GO:0005488,
61,O88974,SETB1_MOUSE,Histone-lysine N-methyltransferase SETDB1 {ECO:0000305},Mus musculus (Mouse),"nucleoplasm ISO, nucleus IDA, intracellular membrane-bounded organelle ISO, chromosome IEA, cytoplasm ISS","GO:0005694, GO:0043231, GO:0005737, GO:0005634, GO:0005654","negative regulation of transcription by RNA polymerase II IMP, negative regulation of single stranded viral RNA replication via double stranded DNA intermediate IMP, Ras protein signal transduction ISS, heterochromatin organization IBA, histone H3-K9 methylation IBA, negative regulation of gene expression IBA, inner cell mass cell proliferation IMP, positive regulation of DNA methylation-dependent heterochromatin assembly IMP, histone H3-K9 trimethylation IMP, bone development IMP","GO:0000122, GO:0060348, GO:0001833, GO:0010629, GO:0045869, GO:0007265, GO:0036124, GO:0070828, GO:0090309, GO:0051567","Isopeptide bond,  Reference proteome,  Repressor,  Methylation,  Coiled coil,  Repeat,  Chromatin regulator,  Zinc, Alternative splicing,  Metal-binding,  Transcription,  Nucleus, Phosphoprotein,  Chromosome,  Transcription regulation, Transferase,  Ubl conjugation,  Methyltransferase, S-adenosyl-L-methionine","promoter-specific chromatin binding IDA, chromatin binding ISO, DNA binding IDA, zinc ion binding IEA, histone-lysine N-methyltransferase activity IDA, histone methyltransferase activity (H3-K9 specific) IDA","GO:1990841, GO:0003677, GO:0008270, GO:0003682, GO:0018024, GO:0046974","GO:0009987, GO:0065007, GO:0032502, GO:0008152","GO:0003824, GO:0005488","GO:0043228, GO:0043229, GO:0043227"
62,O89001,FT,Carboxypeptidase D,Mus musculus (Mouse),"plasma membrane IEA, integral component of membrane IEA, extracellular space IBA, intracellular membrane-bounded organelle ISO, perinuclear region of cytoplasm ISO, trans-Golgi network ISO, nucleus ISO","GO:0043231, GO:0005802, GO:0005886, GO:0005634, GO:0048471, GO:0016021, GO:0005615","protein processing IBA, peptide metabolic process IBA","GO:0006518, GO:0016485"," Hydrolase,  Metalloprotease,  Palmitate,  Reference proteome, Carboxypeptidase,  Repeat,  Zinc,  Transmembrane, Protease,  Metal-binding, Membrane,  Glycoprotein,  Cell membrane,  Signal,  Phosphoprotein, Transmembrane helix,  Lipoprotein","zinc ion binding IEA, protein phosphatase 2A binding ISO, protein-containing complex binding ISO, metallocarboxypeptidase activity IBA","GO:0008270, GO:0044877, GO:0051721, GO:0004181","GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0043229, GO:0031984, GO:0043227, GO:0031224"
63,O89020,FT,Afamin,Mus musculus (Mouse),"cytoplasm IBA, extracellular space ISS","GO:0005737, GO:0005615","vitamin transport ISS, protein transport within extracellular region ISS, protein stabilization ISS","GO:0050821, GO:0051180, GO:0071693"," Repeat,  Secreted,  Disulfide bond, Alternative splicing,  Transport, Reference proteome,  Protein transport,  Glycoprotein,  Signal","fatty acid binding IBA, vitamin E binding ISS, zinc ion binding IBA","GO:0005504, GO:0008431, GO:0008270","GO:0051179, GO:0065007",GO:0005488,
64,O89106,FHIT_MOUSE,Bis(5'-adenosyl)-triphosphatase,Mus musculus (Mouse),"cytosol ISS, plasma membrane ISO, fibrillar center ISO, cytoplasm IDA, nucleus ISO","GO:0005829, GO:0005886, GO:0005737, GO:0001650, GO:0005634","nucleotide metabolic process TAS, purine nucleotide metabolic process ISS, negative regulation of proteasomal ubiquitin-dependent protein catabolic process ISS, diadenosine triphosphate catabolic process ISO, DNA replication IDA, intrinsic apoptotic signaling pathway by p53 class mediator ISS","GO:0006260, GO:0032435, GO:0009117, GO:0072332, GO:0006163, GO:0015964"," Hydrolase, Apoptosis,  Nucleotide-binding,  Magnesium,  Cytoplasm,  Reference proteome, Transcription regulation,  Transcription,  Manganese, Phosphoprotein","hydrolase activity IDA, bis(5'-adenosyl)-triphosphatase activity IDA, catalytic activity TAS, nickel cation binding ISO, ubiquitin protein ligase binding ISO, identical protein binding ISO, nucleotide binding IEA","GO:0016151, GO:0042802, GO:0003824, GO:0000166, GO:0031625, GO:0016787, GO:0047710","GO:0065007, GO:0009987, GO:0008152","GO:0003824, GO:0005488","GO:0043229, GO:0043227"
65,P01132,FT,Pro-epidermal growth factor,Mus musculus (Mouse),"extracellular exosome ISO, integral component of membrane IEA, extracellular region TAS, extracellular space IDA, plasma membrane IDA","GO:0005576, GO:0005886, GO:0070062, GO:0016021, GO:0005615","positive regulation of DNA replication ISS, positive regulation of phosphorylation ISO, negative regulation of cholesterol efflux IDA, positive regulation of cerebellar granule cell precursor proliferation IDA, positive regulation of ERK1 and ERK2 cascade ISO, mammary gland alveolus development IGI, epidermal growth factor receptor signaling pathway IDA, positive regulation of peptidyl-threonine phosphorylation ISO, positive regulation of epidermal growth factor-activated receptor activity ISO, positive regulation of ubiquitin-dependent protein catabolic process IDA, activation of MAPKK activity IDA, positive regulation of fibroblast proliferation ISO, positive regulation of hyaluronan biosynthetic process ISO, positive regulation of cell population proliferation IDA, regulation of protein secretion ISO, positive regulation of gene expression ISO, positive regulation of DNA binding IDA, positive regulation of protein localization to early endosome ISO, regulation of calcium ion import ISO, branching morphogenesis of an epithelial tube IDA, positive regulation of receptor internalization ISO, positive regulation of mitotic nuclear division ISO, activation of MAPK activity IDA, positive regulation of MAPK cascade ISO, ERK1 and ERK2 cascade ISO, positive regulation of peptidyl-tyrosine phosphorylation IDA, angiogenesis ISO, regulation of protein transport ISO, positive regulation of transcription, DNA-templated ISO, regulation of peptidyl-tyrosine phosphorylation IDA, negative regulation of secretion ISO, regulation of protein localization to cell surface ISO, positive regulation of cell migration ISO, positive regulation of DNA biosynthetic process ISO, peptidyl-tyrosine phosphorylation IDA, positive regulation of canonical Wnt signaling pathway ISO, regulation of receptor signaling pathway via JAK-STAT IDA, positive regulation of MAP kinase activity ISO, positive regulation of protein tyrosine kinase activity IDA","GO:0050730, GO:0010800, GO:0043410, GO:2000008, GO:0043388, GO:0090279, GO:0008284, GO:0045740, GO:1900127, GO:0021940, GO:0045893, GO:2000060, GO:0070371, GO:0000187, GO:0048146, GO:0090370, GO:0070374, GO:0018108, GO:0090263, GO:0051048, GO:0001525, GO:0060749, GO:0030335, GO:0061098, GO:0050731, GO:0007173, GO:0043406, GO:0051223, GO:0002092, GO:2000573, GO:0000186, GO:0045840, GO:1902966, GO:0046425, GO:0045741, GO:0010628, GO:0042327, GO:0048754, GO:0050708","3D-structure,  Reference proteome,  EGF-like domain,  Repeat,  Disulfide bond, Glycoprotein,  Membrane,  Transmembrane helix, Transmembrane,  Signal,  Direct protein sequencing,  Growth factor","growth factor activity ISO, calcium ion binding IEA, epidermal growth factor receptor binding IDA, Ras guanyl-nucleotide exchange factor activity ISO","GO:0005154, GO:0005509, GO:0008083, GO:0005088","GO:0009987, GO:0008152, GO:0032502, GO:0032501, GO:0065007","GO:0098772, GO:0005488","GO:0043230, GO:0043227, GO:0031224"
66,P01635,FT,Ig kappa chain V-V region K2,Mus musculus (Mouse),"immunoglobulin complex IEA, extracellular space IBA","GO:0005615, GO:0019814","immune response IBA, immunoglobulin production IBA, adaptive immune response IEA","GO:0002250, GO:0002377, GO:0006955","3D-structure,  Immunoglobulin,  Immunity,  Disulfide bond,  Adaptive immunity, Reference proteome,  Signal",,,"GO:0008152, GO:0002376, GO:0050896",,
67,Q8BPK3,FT,Collagen alpha-2(IV) chain,Mus musculus (Mouse),"extracellular space HDA, basement membrane IDA, extracellular region TAS, extracellular matrix IBA, collagen-containing extracellular matrix HDA, collagen type IV trimer IDA","GO:0005615, GO:0005576, GO:0005604, GO:0005587, GO:0062023, GO:0031012","angiogenesis IEA, collagen-activated tyrosine kinase receptor signaling pathway IGI, transcription, DNA-templated IDA, endodermal cell differentiation IEA, negative regulation of angiogenesis ISS, aging IEA, extracellular matrix organization IBA, cellular response to transforming growth factor beta stimulus IEP, response to activity IEA","GO:0016525, GO:0030198, GO:0038063, GO:0035987, GO:0007568, GO:0071560, GO:0014823, GO:0001525, GO:0006351"," Reference proteome, Angiogenesis,  Secreted,  Disulfide bond,  Collagen, Extracellular matrix,  Glycoprotein, Repeat,  Basement membrane,  Hydroxylation,  Signal",extracellular matrix structural constituent IBA,GO:0005201,"GO:0009987, GO:0008152, GO:0032502, GO:0050896, GO:0065007",GO:0005198,"GO:0005581, GO:0030312"
68,P09925,SURF1_MOUSE,Surfeit locus protein 1,Mus musculus (Mouse),"mitochondrion HDA, integral component of membrane IEA, mitochondrial membrane IEA","GO:0016021, GO:0005739, GO:0031966","oxidative phosphorylation ISO, mitochondrial cytochrome c oxidase assembly ISS","GO:0033617, GO:0006119"," Reference proteome,  Transmembrane, Membrane,  Mitochondrion, Transmembrane helix",cytochrome-c oxidase activity IMP,GO:0004129,"GO:0009987, GO:0008152","GO:0005215, GO:0003824","GO:0031090, GO:0043229, GO:0043227, GO:0031224"
69,P0DM40,FR1L5_MOUSE,Fer-1-like protein 5,Mus musculus (Mouse),"integral component of membrane IEA, cytoplasmic vesicle IBA, T-tubule IBA","GO:0016021, GO:0031410, GO:0030315","myoblast fusion IEA, T-tubule organization IBA, macrophage activation involved in immune response IBA, monocyte activation involved in immune response IBA, negative regulation of phagocytosis IBA, vesicle fusion IBA, plasma membrane organization IBA, membrane fusion IBA, plasma membrane repair IBA","GO:0001778, GO:0006906, GO:0061025, GO:0050765, GO:0033292, GO:0002280, GO:0002281, GO:0007009, GO:0007520"," Reference proteome,  Transmembrane helix,  Transmembrane,  Membrane,  Metal-binding, Calcium, Repeat,  Cell membrane","calcium ion binding IBA, calcium-dependent phospholipid binding IBA","GO:0005509, GO:0005544","GO:0065007, GO:0009987, GO:0002376, GO:0032502",GO:0005488,"GO:0043227, GO:0031224"
70,P0DP60,FT,Ly-6/neurotoxin-like protein 1 {ECO:0000305},Mus musculus (Mouse),"dendrite IEA, endoplasmic reticulum IEA, synapse IEA, plasma membrane IDA, anchored component of membrane IBA, membrane IDA","GO:0045202, GO:0005886, GO:0031225, GO:0030425, GO:0016020, GO:0005783","synaptic transmission, cholinergic IDA, regulation of neurotransmitter receptor activity ISS","GO:0099601, GO:0007271"," Reference proteome, Cell membrane,  Disulfide bond, Glycoprotein,  GPI-anchor,  Membrane,  Endoplasmic reticulum, Signal,  Cell projection,  Lipoprotein","ion channel inhibitor activity IDA, acetylcholine receptor binding ISS, acetylcholine receptor regulator activity ISS, acetylcholine receptor inhibitor activity IDA","GO:0030548, GO:0033130, GO:0030550, GO:0008200","GO:0023052, GO:0065007, GO:0009987","GO:0098772, GO:0005488","GO:0043227, GO:0042995, GO:0031224, GO:0030054, GO:0043229"
71,P10820,FT,Perforin-1,Mus musculus (Mouse),"plasma membrane IEA, integral component of membrane IDA, extracellular space ISO, cytosol ISO, cytoplasmic vesicle IDA, cytolytic granule IDA, endosome lumen IEA","GO:0005829, GO:0005886, GO:0044194, GO:0031904, GO:0016021, GO:0031410, GO:0005615","T cell mediated cytotoxicity IDA, defense response to tumor cell IMP, cytolysis IEA, circadian rhythm ISO, protein homooligomerization IDA, defense response to virus IMP, positive regulation of killing of cells of other organism ISO, apoptotic process ISO, immune response to tumor cell IMP, immunological synapse formation ISO","GO:0002357, GO:0002418, GO:0007623, GO:0051260, GO:0019835, GO:0051712, GO:0001771, GO:0001913, GO:0006915, GO:0051607","3D-structure,  Reference proteome, Transmembrane beta strand,  EGF-like domain,  Secreted, Metal-binding,  Transmembrane,  Membrane,  Cytolysis, Disulfide bond,  Glycoprotein,  Endosome,  Cell membrane,  Signal,  Direct protein sequencing,  Calcium","calcium ion binding IDA, identical protein binding ISO, wide pore channel activity IDA","GO:0042802, GO:0005509, GO:0022829","GO:0002376, GO:0009987, GO:0048511, GO:0044419, GO:0050896, GO:0065007","GO:0005215, GO:0005488","GO:0031974, GO:0043229, GO:0043227, GO:0031224"
72,P11672,FT,Neutrophil gelatinase-associated lipocalin,Mus musculus (Mouse),"cytosol ISO, extracellular region IDA, cytoplasmic vesicle lumen IEA, extracellular space IDA","GO:0005615, GO:0005576, GO:0060205, GO:0005829","response to virus IDA, cellular response to nutrient levels IEA, extrinsic apoptotic signaling pathway in absence of ligand IDA, positive regulation of cold-induced thermogenesis IMP, innate immune response IMP, positive regulation of gene expression ISO, sequestering of iron ion ISS, positive regulation of cell projection organization ISO, siderophore transport IDA, response to mycotoxin IEA, response to herbicide ISO, cellular response to hydrogen peroxide ISO, cellular response to tumor necrosis factor IEA, cellular response to interleukin-1 IEA, defense response to bacterium ISS, response to bacterium IEP, cellular response to lipopolysaccharide IEA, response to drug ISO","GO:0015891, GO:0071222, GO:0070301, GO:0097192, GO:0009615, GO:0097577, GO:0045087, GO:0031346, GO:0009617, GO:0042493, GO:0071356, GO:0031669, GO:0010628, GO:0009635, GO:0010046, GO:0071347, GO:0120162, GO:0042742","3D-structure,  Reference proteome,  Apoptosis, Iron,  Immunity,  Ion transport, Secreted, Disulfide bond,  Transport,  Cytoplasmic vesicle,  Glycoprotein,  Innate immunity,  Signal,  Pyrrolidone carboxylic acid,  Direct protein sequencing,  Iron transport","iron ion binding IDA, identical protein binding ISO, enterobactin binding ISS, odorant binding IBA, small molecule binding IEA, protease binding ISO","GO:0005549, GO:0042802, GO:0005506, GO:1903981, GO:0036094, GO:0002020","GO:0002376, GO:0009987, GO:0044419, GO:0051179, GO:0050896, GO:0065007",GO:0005488,GO:0031974
73,P11688,FT,Integrin alpha-5,Mus musculus (Mouse),"integrin alpha5-beta1 complex ISO, endoplasmic reticulum IDA, cell-cell junction IEA, external side of plasma membrane IDA, ruffle membrane IEA, synapse IDA, plasma membrane IDA, cytoplasmic vesicle IDA, Golgi apparatus IDA, cytoplasm ISO, cell surface IDA, focal adhesion ISS, integrin complex ISO","GO:0008305, GO:0005925, GO:0045202, GO:0005886, GO:0005737, GO:0005794, GO:0005911, GO:0009986, GO:0009897, GO:0032587, GO:0034674, GO:0031410, GO:0005783","heterotypic cell-cell adhesion ISO, heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules IMP, positive regulation of cell-substrate adhesion ISO, female pregnancy IEA, positive regulation of peptidyl-tyrosine phosphorylation ISO, leukocyte cell-cell adhesion IMP, wound healing, spreading of epidermal cells IEA, positive regulation of cell migration ISO, cell-cell adhesion mediated by integrin IMP, cell adhesion mediated by integrin ISS, memory IMP, CD40 signaling pathway ISO, cell adhesion ISO, cell-substrate adhesion ISO, cell-substrate junction assembly IDA, endodermal cell differentiation ISO, negative regulation of anoikis ISO, positive regulation of sprouting angiogenesis ISO, regulation of angiogenesis IGI, integrin-mediated signaling pathway ISO","GO:0007155, GO:0007044, GO:0030335, GO:2000811, GO:0034113, GO:0007613, GO:0007157, GO:0050731, GO:0035313, GO:0033627, GO:1903672, GO:0023035, GO:0007565, GO:0033631, GO:0035987, GO:0045765, GO:0031589, GO:0007229, GO:0010811, GO:0007159"," Cell junction,  Reference proteome,  Repeat,  Transmembrane helix,  Membrane,  Metal-binding, Disulfide bond,  Cell adhesion, Calcium,  Cleavage on pair of basic residues,  Glycoprotein, Phosphoprotein,  Receptor,  Signal, Transmembrane,  Integrin","metal ion binding IEA, cell adhesion molecule binding ISO, integrin binding IPI, epidermal growth factor receptor binding ISO","GO:0050839, GO:0005178, GO:0046872, GO:0005154","GO:0022610, GO:0009987, GO:0051704, GO:0032502, GO:0040011, GO:0032501, GO:0065007, GO:0007610, GO:0022414",GO:0005488,"GO:0031256, GO:0098552, GO:0043227, GO:0098796, GO:0030054, GO:0098636, GO:0043229, GO:0043235, GO:0098590"
74,P11911,FT,B-cell antigen receptor complex-associated protein alpha chain,Mus musculus (Mouse),"integral component of membrane IEA, external side of plasma membrane IDA, B cell receptor complex IDA, multivesicular body IDA, plasma membrane TAS, membrane raft IDA","GO:0019815, GO:0045121, GO:0005886, GO:0009897, GO:0016021, GO:0005771","B cell receptor signaling pathway IDA, B cell activation IMP, adaptive immune response IEA, B cell differentiation IMP, B cell proliferation IMP","GO:0042100, GO:0030183, GO:0002250, GO:0042113, GO:0050853","Methylation,  Immunoglobulin domain,  Reference proteome, Adaptive immunity,  Immunity,  Transmembrane,  Membrane, Disulfide bond,  Glycoprotein,  Cell membrane,  Signal,  Phosphoprotein,  Direct protein sequencing, Transmembrane helix","transmembrane signaling receptor activity IEA, identical protein binding ISO","GO:0042802, GO:0004888","GO:0002376, GO:0009987, GO:0032502, GO:0050896, GO:0065007","GO:0005488, GO:0060089","GO:0098552, GO:0043227, GO:0098796, GO:0098857, GO:0019814, GO:0031224, GO:0043235"
75,P12849,FT,cAMP-dependent protein kinase type I-beta regulatory subunit,Mus musculus (Mouse),"plasma membrane IEA, cAMP-dependent protein kinase complex IDA, hippocampal mossy fiber to CA3 synapse IMP, Schaffer collateral - CA1 synapse IMP, glutamatergic synapse IDA, synapse IDA, multivesicular body IDA, cytoplasm IDA","GO:0098685, GO:0098686, GO:0045202, GO:0005886, GO:0005737, GO:0098978, GO:0005952, GO:0005771","regulation of protein kinase activity ISO, learning or memory IMP, regulation of protein kinase A signaling IBA, negative regulation of cAMP-dependent protein kinase activity ISO, regulation of cAMP-mediated signaling IBA, regulation of synaptic vesicle cycle IMP, modulation of chemical synaptic transmission IMP, protein phosphorylation TAS, animal organ morphogenesis TAS","GO:0098693, GO:2000480, GO:0043949, GO:0006468, GO:0009887, GO:0007611, GO:0045859, GO:0010738, GO:0050804","cAMP,  Nucleotide-binding,  Reference proteome,  Methylation,  Repeat, Nitration,  Disulfide bond,  Membrane,  Cell membrane,  Phosphoprotein,  cAMP-binding","protein kinase A catalytic subunit binding ISO, cAMP-dependent protein kinase regulator activity ISS, cAMP-dependent protein kinase inhibitor activity ISO, cAMP binding ISO","GO:0030552, GO:0004862, GO:0008603, GO:0034236","GO:0009987, GO:0008152, GO:0032502, GO:0032501, GO:0065007, GO:0007610","GO:0098772, GO:0005488","GO:0030054, GO:0140535, GO:0043227"
76,Q64296,FT,CD44 antigen,Mus musculus (Mouse),"cell projection ISS, apical plasma membrane ISS, integral component of membrane IEA, Golgi apparatus ISO, lamellipodium membrane ISS, external side of plasma membrane IDA, cytosol ISO, plasma membrane IDA, macrophage migration inhibitory factor receptor complex IDA, cell surface IDA, microvillus IDA, basolateral plasma membrane IDA, protein-containing complex ISO, nucleus ISO","GO:0016323, GO:0005829, GO:0005886, GO:0035692, GO:0005634, GO:0031258, GO:0005794, GO:0016324, GO:0009897, GO:0009986, GO:0005902, GO:0016021, GO:0042995, GO:0032991","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process ISO, cellular response to fibroblast growth factor stimulus ISO, negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator IMP, negative regulation of apoptotic process ISO, regulation of lamellipodium morphogenesis ISS, macrophage fusion ISO, cell adhesion IDA, positive regulation of peptidyl-tyrosine phosphorylation IMP, positive regulation of ERK1 and ERK2 cascade IMP, negative regulation of DNA damage response, signal transduction by p53 class mediator IMP, positive regulation of adaptive immune response NAS, negative regulation of mature B cell apoptotic process IDA, monocyte aggregation ISO, regulation of cell growth ISO, Wnt signaling pathway IDA, wound healing, spreading of cells ISS, positive regulation of monocyte aggregation ISO, branching involved in ureteric bud morphogenesis IMP, T cell activation ISO, inflammatory response IBA, cell migration ISO, positive regulation of peptidyl-serine phosphorylation IMP, negative regulation of inflammatory response IMP, cytokine-mediated signaling pathway IEA, hyaluronan catabolic process ISO, positive regulation of neutrophil apoptotic process ISO, positive regulation of heterotypic cell-cell adhesion ISO, negative regulation of regulatory T cell differentiation IMP, positive regulation of gene expression IMP, branching involved in prostate gland morphogenesis IMP, wound healing involved in inflammatory response IMP, neuron projection development ISO, negative regulation of CD4-positive, alpha-beta T cell proliferation IMP","GO:0007155, GO:0034238, GO:0030214, GO:0033031, GO:0002246, GO:0001658, GO:0034116, GO:0070374, GO:0001558, GO:0043066, GO:0033138, GO:0016055, GO:2000392, GO:0050728, GO:0031175, GO:0043154, GO:0044344, GO:1902166, GO:1900625, GO:0050731, GO:0060442, GO:0043518, GO:0002821, GO:0070487, GO:0002906, GO:0044319, GO:2000562, GO:0042110, GO:0016477, GO:0010628, GO:0019221, GO:0045590, GO:0006954","3D-structure,  Reference proteome,  Alternative splicing,  Disulfide bond,  Transmembrane helix,  Membrane,  Receptor,  Sulfation,  Cell adhesion, Proteoglycan, Transmembrane,  Glycoprotein,  Cell membrane,  Signal,  Phosphoprotein, Cell projection","protein kinase binding ISO, transmembrane signaling receptor activity IBA, epidermal growth factor receptor binding ISO, hyaluronic acid binding IDA, type II transforming growth factor beta receptor binding IPI, phosphoprotein binding ISO","GO:0005114, GO:0019901, GO:0051219, GO:0005540, GO:0005154, GO:0004888","GO:0022610, GO:0002376, GO:0009987, GO:0008152, GO:0032502, GO:0040011, GO:0050896, GO:0032501, GO:0065007, GO:0022414","GO:0005488, GO:0060089","GO:0031256, GO:0098552, GO:0043227, GO:0042995, GO:0031224, GO:0043229, GO:0043235, GO:0098590"
77,P21614,FT,Vitamin D-binding protein,Mus musculus (Mouse),"cytoplasm IBA, extracellular space ISO, cytosol ISO, perinuclear region of cytoplasm ISO, axon ISO","GO:0005829, GO:0005737, GO:0030424, GO:0048471, GO:0005615",vitamin D metabolic process IDA,GO:0042359," Reference proteome,  Repeat,  Secreted,  Disulfide bond,  Transport,  Glycoprotein, Phosphoprotein, Vitamin D,  Signal,  Direct protein sequencing, Actin-binding","calcidiol binding ISO, vitamin D binding ISO, vitamin transmembrane transporter activity IEA, actin binding ISS","GO:0090482, GO:0005499, GO:1902118, GO:0003779",GO:0008152,"GO:0005488, GO:0005215",GO:0042995
78,P23440,FT,"Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta",Mus musculus (Mouse),"photoreceptor outer segment membrane IBA, plasma membrane TAS, photoreceptor outer segment IDA","GO:0005886, GO:0001750, GO:0042622","retina development in camera-type eye IMP, visual perception IEA, entrainment of circadian clock by photoperiod IMP, detection of light stimulus IMP, signal transduction IBA","GO:0009583, GO:0007165, GO:0060041, GO:0043153, GO:0007601"," Hydrolase,  Reference proteome,  Alternative splicing,  Repeat,  Prenylation, Acetylation, Metal-binding,  Vision,  Membrane,  cGMP,  Lipoprotein, Sensory transduction","metal ion binding IEA, 3',5'-cyclic-nucleotide phosphodiesterase activity IBA, 3',5'-cyclic-GMP phosphodiesterase activity IEA","GO:0047555, GO:0046872, GO:0004114","GO:0009987, GO:0032502, GO:0050896, GO:0032501, GO:0065007","GO:0005488, GO:0003824","GO:0098590, GO:0031090"
79,P23683,EVX1_MOUSE,Homeobox even-skipped homolog protein 1,Mus musculus (Mouse),nucleoplasm ISO,GO:0005654,"regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification IMP, embryo development ending in birth or egg hatching IMP, positive regulation of transcription by RNA polymerase II IDA","GO:0045944, GO:0009792, GO:0021913"," Reference proteome, Developmental protein,  Homeobox,  Nucleus,  DNA-binding","sequence-specific double-stranded DNA binding ISO, DNA-binding transcription factor activity, RNA polymerase II-specific IEA","GO:0000981, GO:1990837","GO:0032501, GO:0065007, GO:0032502","GO:0140110, GO:0005488",
80,P23906,IRF2_MOUSE,Interferon regulatory factor 2,Mus musculus (Mouse),"cytosol ISO, focal adhesion ISO, nucleus IBA, nucleoplasm ISO","GO:0005925, GO:0005634, GO:0005654, GO:0005829","cell population proliferation IEA, positive regulation of transcription by RNA polymerase II ISO, defense response to virus ISO, regulation of transcription, DNA-templated ISO, immune system process IBA","GO:0045944, GO:0006355, GO:0008283, GO:0002376, GO:0051607","3D-structure,  Reference proteome,  Transcription,  Ubl conjugation,  Nucleus,  Acetylation,  Transcription regulation, DNA-binding,  Isopeptide bond,  Phosphoprotein,  Direct protein sequencing,  Activator, Repressor","DNA-binding transcription factor activity, RNA polymerase II-specific IBA, sequence-specific double-stranded DNA binding ISO, RNA polymerase II transcription regulatory region sequence-specific DNA binding ISO, DNA-binding transcription activator activity, RNA polymerase II-specific ISO, DNA-binding transcription factor activity ISO, DNA binding ISO","GO:0000981, GO:0003677, GO:0003700, GO:0001228, GO:1990837, GO:0000977","GO:0002376, GO:0009987, GO:0044419, GO:0050896, GO:0065007","GO:0140110, GO:0005488","GO:0030054, GO:0043229, GO:0043227"
81,P25318,CO8A2_MOUSE,Collagen alpha-2(VIII) chain,Mus musculus (Mouse),"extracellular space IBA, extracellular matrix IBA, collagen trimer IEA, basement membrane IEA","GO:0005615, GO:0031012, GO:0005604, GO:0005581","angiogenesis IEA, cell adhesion IEA, epithelial cell proliferation IGI, camera-type eye morphogenesis IGI, extracellular matrix organization IBA","GO:0007155, GO:0030198, GO:0048593, GO:0050673, GO:0001525"," Reference proteome,  Extracellular matrix,  Repeat,  Angiogenesis, Alternative splicing, Collagen, Secreted,  Cell adhesion,  Basement membrane,  Hydroxylation,  Signal",extracellular matrix structural constituent IBA,GO:0005201,"GO:0022610, GO:0009987, GO:0032502",GO:0005198,GO:0030312
